Date,Open,High,Low,Close,Adj Close,Volume
2011-12-06,3825.000000,4100.000000,3775.000000,3825.000000,3731.870117,68047500
2011-12-07,3825.000000,3850.000000,3775.000000,3825.000000,3731.870117,9585500
2011-12-08,3825.000000,3825.000000,3775.000000,3825.000000,3731.870117,6267500
2011-12-09,3800.000000,3800.000000,3750.000000,3800.000000,3707.478760,2737500
2011-12-12,3800.000000,3825.000000,3650.000000,3800.000000,3707.478760,10265500
2011-12-13,3800.000000,3800.000000,3750.000000,3800.000000,3707.478760,998500
2011-12-14,3775.000000,3800.000000,3750.000000,3775.000000,3683.087158,5082500
2011-12-15,3775.000000,3775.000000,3750.000000,3775.000000,3683.087158,2868000
2011-12-16,3900.000000,3900.000000,3775.000000,3900.000000,3805.043945,14752000
2011-12-19,3900.000000,3900.000000,3900.000000,3900.000000,3805.043945,0
2011-12-20,3875.000000,3875.000000,3850.000000,3875.000000,3780.652588,3571000
2011-12-21,3875.000000,3900.000000,3850.000000,3875.000000,3780.652588,3100500
2011-12-22,3875.000000,3875.000000,3825.000000,3875.000000,3780.652588,519000
2011-12-23,3850.000000,3850.000000,3825.000000,3850.000000,3756.261475,607500
2011-12-27,3850.000000,3850.000000,3800.000000,3850.000000,3756.261475,644000
2011-12-28,3825.000000,3825.000000,3800.000000,3825.000000,3731.870117,185000
2011-12-29,3825.000000,3825.000000,3800.000000,3825.000000,3731.870117,1335000
2011-12-30,3825.000000,3850.000000,3775.000000,3825.000000,3731.870117,4709000
2012-01-02,3800.000000,3800.000000,3775.000000,3800.000000,3707.478760,1298500
2012-01-03,3800.000000,3800.000000,3750.000000,3800.000000,3707.478760,683000
2012-01-04,3775.000000,3800.000000,3775.000000,3775.000000,3683.087158,743500
2012-01-05,3775.000000,3775.000000,3775.000000,3775.000000,3683.087158,24000
2012-01-06,3775.000000,3800.000000,3750.000000,3775.000000,3683.087158,73500
2012-01-09,3825.000000,3825.000000,3775.000000,3825.000000,3731.870117,1921000
2012-01-10,3850.000000,3850.000000,3800.000000,3850.000000,3756.261475,651500
2012-01-11,3800.000000,3850.000000,3800.000000,3800.000000,3707.478760,1141000
2012-01-12,3775.000000,3775.000000,3775.000000,3775.000000,3683.087158,1302000
2012-01-13,3800.000000,3800.000000,3775.000000,3800.000000,3707.478760,3
2012-01-16,3800.000000,3800.000000,3775.000000,3800.000000,3707.478760,1649000
2012-01-17,3825.000000,3825.000000,3775.000000,3825.000000,3731.870117,3684500
2012-01-18,3800.000000,3825.000000,3800.000000,3800.000000,3707.478760,22500
2012-01-19,3800.000000,3825.000000,3800.000000,3800.000000,3707.478760,1051000
2012-01-20,3775.000000,3800.000000,3775.000000,3775.000000,3683.087158,4276000
2012-01-24,3750.000000,3775.000000,3750.000000,3750.000000,3658.696289,2662500
2012-01-25,3775.000000,3825.000000,3750.000000,3775.000000,3683.087158,3923500
2012-01-26,3825.000000,3825.000000,3750.000000,3825.000000,3731.870117,3175000
2012-01-27,3800.000000,3825.000000,3775.000000,3800.000000,3707.478760,544000
2012-01-30,3775.000000,3800.000000,3750.000000,3775.000000,3683.087158,1118500
2012-01-31,3750.000000,3775.000000,3725.000000,3750.000000,3658.696289,1263000
2012-02-01,3750.000000,3775.000000,3725.000000,3750.000000,3658.696289,79500
