Date,Open,High,Low,Close,Adj Close,Volume
2019-06-05,1240.000000,1240.000000,1240.000000,1240.000000,1209.458130,0
2019-06-06,1240.000000,1240.000000,1240.000000,1240.000000,1209.458130,0
2019-06-07,1240.000000,1240.000000,1240.000000,1240.000000,1209.458130,0
2019-06-10,1265.000000,1265.000000,1200.000000,1220.000000,1189.950684,31300
2019-06-11,1235.000000,1235.000000,1200.000000,1215.000000,1185.073853,18700
2019-06-12,1230.000000,1260.000000,1215.000000,1215.000000,1185.073853,89600
2019-06-13,1215.000000,1235.000000,1210.000000,1215.000000,1185.073853,18500
2019-06-14,1225.000000,1225.000000,1210.000000,1210.000000,1180.197021,30200
2019-06-17,1210.000000,1215.000000,1195.000000,1195.000000,1165.566528,41300
2019-06-18,1200.000000,1200.000000,1190.000000,1195.000000,1165.566528,13200
2019-06-19,1195.000000,1195.000000,1190.000000,1195.000000,1165.566528,231700
2019-06-20,1195.000000,1200.000000,1180.000000,1190.000000,1160.689697,77600
2019-06-21,1195.000000,1210.000000,1190.000000,1190.000000,1160.689697,113100
2019-06-24,1190.000000,1215.000000,1190.000000,1200.000000,1170.443359,115200
2019-06-25,1195.000000,1200.000000,1180.000000,1180.000000,1150.935913,229600
2019-06-26,1180.000000,1180.000000,1130.000000,1130.000000,1102.167480,412700
2019-06-27,1135.000000,1200.000000,1130.000000,1185.000000,1155.812744,91500
2019-06-28,1185.000000,1230.000000,1170.000000,1205.000000,1175.320190,71200
2019-07-01,1205.000000,1250.000000,1200.000000,1235.000000,1204.581299,144400
2019-07-02,1235.000000,1305.000000,1235.000000,1270.000000,1238.719238,429800
2019-07-03,1270.000000,1270.000000,1240.000000,1245.000000,1214.334961,104000
2019-07-04,1250.000000,1250.000000,1245.000000,1245.000000,1214.334961,15700
2019-07-05,1245.000000,1245.000000,1200.000000,1220.000000,1189.950684,150300
2019-07-08,1220.000000,1220.000000,1200.000000,1200.000000,1170.443359,59900
2019-07-09,1205.000000,1220.000000,1205.000000,1210.000000,1180.197021,6700
2019-07-10,1210.000000,1210.000000,1200.000000,1210.000000,1180.197021,12700
2019-07-11,1210.000000,1210.000000,1195.000000,1200.000000,1170.443359,502100
2019-07-12,1195.000000,1195.000000,1195.000000,1195.000000,1165.566528,11500
2019-07-15,1195.000000,1200.000000,1190.000000,1195.000000,1165.566528,30300
2019-07-16,1195.000000,1200.000000,1180.000000,1185.000000,1155.812744,63900
2019-07-17,1195.000000,1195.000000,1180.000000,1190.000000,1160.689697,6900
2019-07-18,1180.000000,1190.000000,1180.000000,1185.000000,1155.812744,7600
2019-07-19,1185.000000,1195.000000,1185.000000,1190.000000,1160.689697,58000
2019-07-22,1190.000000,1195.000000,1180.000000,1180.000000,1150.935913,161700
2019-07-23,1185.000000,1190.000000,1170.000000,1180.000000,1150.935913,28300
2019-07-24,1180.000000,1195.000000,1170.000000,1180.000000,1150.935913,8400
2019-07-25,1185.000000,1190.000000,1180.000000,1180.000000,1150.935913,28200
2019-07-26,1180.000000,1185.000000,1175.000000,1185.000000,1155.812744,18700
2019-07-29,1170.000000,1185.000000,1130.000000,1150.000000,1121.674927,1572500
2019-07-30,1150.000000,1150.000000,1130.000000,1145.000000,1116.797974,189100
