Date,Open,High,Low,Close,Adj Close,Volume
2019-06-05,236.000000,236.000000,236.000000,236.000000,236.000000,0
2019-06-06,236.000000,236.000000,236.000000,236.000000,236.000000,0
2019-06-07,236.000000,236.000000,236.000000,236.000000,236.000000,0
2019-06-10,236.000000,238.000000,230.000000,234.000000,234.000000,870600
2019-06-11,234.000000,248.000000,232.000000,246.000000,246.000000,1583900
2019-06-12,250.000000,254.000000,246.000000,248.000000,248.000000,1482200
2019-06-13,248.000000,252.000000,242.000000,242.000000,242.000000,1773600
2019-06-14,248.000000,248.000000,242.000000,244.000000,244.000000,1208400
2019-06-17,244.000000,248.000000,240.000000,240.000000,240.000000,799200
2019-06-18,240.000000,248.000000,240.000000,240.000000,240.000000,310000
2019-06-19,244.000000,250.000000,244.000000,250.000000,250.000000,1477100
2019-06-20,250.000000,252.000000,244.000000,248.000000,248.000000,933600
2019-06-21,248.000000,252.000000,244.000000,246.000000,246.000000,590700
2019-06-24,244.000000,250.000000,242.000000,246.000000,246.000000,864700
2019-06-25,248.000000,248.000000,242.000000,244.000000,244.000000,834900
2019-06-26,244.000000,246.000000,242.000000,244.000000,244.000000,550000
2019-06-27,242.000000,246.000000,242.000000,244.000000,244.000000,543400
2019-06-28,244.000000,250.000000,244.000000,244.000000,244.000000,887700
2019-07-01,246.000000,250.000000,246.000000,246.000000,246.000000,553100
2019-07-02,248.000000,254.000000,246.000000,254.000000,254.000000,1257000
2019-07-03,254.000000,258.000000,248.000000,250.000000,250.000000,982800
2019-07-04,250.000000,300.000000,250.000000,260.000000,260.000000,44805400
2019-07-05,262.000000,266.000000,254.000000,256.000000,256.000000,4300700
2019-07-08,256.000000,262.000000,252.000000,260.000000,260.000000,1983500
2019-07-09,260.000000,262.000000,254.000000,254.000000,254.000000,2030000
2019-07-10,254.000000,262.000000,254.000000,258.000000,258.000000,1262300
2019-07-11,256.000000,262.000000,256.000000,258.000000,258.000000,773800
2019-07-12,260.000000,262.000000,254.000000,254.000000,254.000000,736100
2019-07-15,256.000000,258.000000,254.000000,254.000000,254.000000,722000
2019-07-16,254.000000,258.000000,252.000000,252.000000,252.000000,1834800
2019-07-17,252.000000,256.000000,250.000000,254.000000,254.000000,901500
2019-07-18,252.000000,264.000000,252.000000,264.000000,264.000000,4217100
