Date,Open,High,Low,Close,Adj Close,Volume
2002-06-13,550.000000,550.000000,500.000000,500.000000,1.997400,0
2002-06-14,550.000000,550.000000,510.000000,510.000000,2.037348,0
2002-06-17,550.000000,550.000000,515.000000,515.000000,2.057323,0
2002-06-18,550.000000,550.000000,500.000000,500.000000,1.997400,0
2002-06-19,550.000000,550.000000,450.000000,450.000000,1.797660,0
2002-06-20,550.000000,550.000000,520.000000,520.000000,2.077296,0
2002-06-21,null,null,null,null,null,null
2002-06-24,540.000000,540.000000,510.000000,510.000000,2.037348,0
2002-06-25,530.000000,530.000000,530.000000,530.000000,2.117244,5000
2002-06-26,530.000000,530.000000,500.000000,530.000000,2.117244,305000
2002-06-27,530.000000,530.000000,480.000000,480.000000,1.917505,0
2002-06-28,510.000000,530.000000,510.000000,530.000000,2.117244,55000
2002-07-01,null,null,null,null,null,null
2002-07-02,null,null,null,null,null,null
2002-07-03,530.000000,530.000000,490.000000,490.000000,1.957453,0
2002-07-04,null,null,null,null,null,null
2002-07-05,null,null,null,null,null,null
2002-07-08,null,null,null,null,null,null
2002-07-09,530.000000,530.000000,470.000000,470.000000,1.877556,0
2002-07-10,null,null,null,null,null,null
2002-07-11,null,null,null,null,null,null
2002-07-12,null,null,null,null,null,null
2002-07-15,null,null,null,null,null,null
2002-07-16,null,null,null,null,null,null
2002-07-17,null,null,null,null,null,null
2002-07-18,530.000000,530.000000,450.000000,450.000000,2.414001,0
2002-07-19,null,null,null,null,null,null
2002-07-22,null,null,null,null,null,null
2002-07-23,450.000000,450.000000,430.000000,430.000000,2.306712,0
2002-07-24,480.000000,480.000000,425.000000,425.000000,2.279890,0
2002-07-25,500.000000,500.000000,430.000000,430.000000,2.306712,0
2002-07-26,500.000000,500.000000,500.000000,500.000000,2.682223,100000
2002-07-29,480.000000,480.000000,420.000000,420.000000,2.253068,0
2002-07-30,null,null,null,null,null,null
2002-07-31,null,null,null,null,null,null
2002-08-01,null,null,null,null,null,null
2002-08-02,null,null,null,null,null,null
2002-08-05,500.000000,500.000000,410.000000,410.000000,2.199424,0
2002-08-06,null,null,null,null,null,null
2002-08-07,450.000000,450.000000,420.000000,420.000000,2.253068,0
2002-08-08,450.000000,450.000000,420.000000,420.000000,2.253068,0
2002-08-09,450.000000,450.000000,420.000000,420.000000,2.253068,0
2002-08-12,null,null,null,null,null,null
2002-08-13,450.000000,450.000000,450.000000,450.000000,2.414001,0
2002-08-14,450.000000,450.000000,450.000000,450.000000,2.414001,125000
2002-08-15,430.000000,430.000000,400.000000,400.000000,2.145778,235000
2002-08-16,450.000000,450.000000,410.000000,410.000000,2.199424,0
2002-08-19,450.000000,450.000000,400.000000,400.000000,2.145778,0
2002-08-20,450.000000,450.000000,400.000000,400.000000,2.145778,0
2002-08-21,450.000000,450.000000,450.000000,450.000000,2.414001,5000
2002-08-22,402.500000,402.500000,402.500000,402.500000,2.159190,0
2002-08-23,null,null,null,null,null,null
2002-08-26,450.000000,450.000000,450.000000,450.000000,2.414001,0
2002-08-27,450.000000,450.000000,400.000000,400.000000,2.145778,0
2002-08-28,null,null,null,null,null,null
2002-08-29,null,null,null,null,null,null
2002-08-30,null,null,null,null,null,null
2002-09-02,null,null,null,null,null,null
2002-09-03,null,null,null,null,null,null
2002-09-04,null,null,null,null,null,null
2002-09-05,null,null,null,null,null,null
2002-09-06,null,null,null,null,null,null
2002-09-09,null,null,null,null,null,null
2002-09-10,null,null,null,null,null,null
2002-09-11,450.000000,450.000000,450.000000,450.000000,2.414001,0
2002-09-12,null,null,null,null,null,null
2002-09-13,null,null,null,null,null,null
2002-09-16,null,null,null,null,null,null
2002-09-17,null,null,null,null,null,null
2002-09-18,500.000000,500.000000,500.000000,500.000000,2.682223,0
2002-09-19,null,null,null,null,null,null
2002-09-20,null,null,null,null,null,null
2002-09-23,null,null,null,null,null,null
2002-09-24,500.000000,500.000000,500.000000,500.000000,2.682223,0
2002-09-25,500.000000,500.000000,500.000000,500.000000,2.682223,0
2002-09-26,null,null,null,null,null,null
2002-09-27,null,null,null,null,null,null
2002-09-30,null,null,null,null,null,null
2002-10-01,450.000000,450.000000,450.000000,450.000000,2.414001,0
2002-10-02,450.000000,450.000000,400.000000,400.000000,2.145778,0
2002-10-03,450.000000,450.000000,450.000000,450.000000,2.414001,0
2002-10-04,null,null,null,null,null,null
2002-10-07,450.000000,450.000000,450.000000,450.000000,2.414001,0
2002-10-08,450.000000,450.000000,450.000000,450.000000,2.414001,0
2002-10-09,450.000000,450.000000,450.000000,450.000000,2.414001,0
2002-10-10,450.000000,450.000000,375.000000,375.000000,2.011667,0
2002-10-11,450.000000,450.000000,450.000000,450.000000,2.414001,0
2002-10-14,450.000000,450.000000,450.000000,450.000000,2.414001,0
2002-10-15,490.000000,490.000000,490.000000,490.000000,2.628579,0
2002-10-16,450.000000,450.000000,450.000000,450.000000,2.414001,0
2002-10-17,450.000000,450.000000,450.000000,450.000000,2.414001,0
2002-10-18,450.000000,450.000000,450.000000,450.000000,2.414001,0
2002-10-21,450.000000,450.000000,450.000000,450.000000,2.414001,0
2002-10-22,null,null,null,null,null,null
2002-10-23,null,null,null,null,null,null
2002-10-24,null,null,null,null,null,null
2002-10-25,null,null,null,null,null,null
2002-10-28,500.000000,500.000000,500.000000,500.000000,2.682223,0
2002-10-29,500.000000,500.000000,500.000000,500.000000,2.682223,0
2002-10-30,500.000000,500.000000,500.000000,500.000000,2.682223,0
2002-10-31,500.000000,500.000000,500.000000,500.000000,2.682223,0
2002-11-01,500.000000,500.000000,500.000000,500.000000,2.682223,0
2002-11-04,400.000000,400.000000,400.000000,400.000000,2.145778,15000
2002-11-05,430.000000,430.000000,375.000000,375.000000,2.011667,0
2002-11-06,430.000000,430.000000,430.000000,430.000000,2.306712,0
2002-11-07,430.000000,430.000000,350.000000,350.000000,1.877556,0
2002-11-08,400.000000,400.000000,400.000000,400.000000,2.145778,0
2002-11-11,400.000000,400.000000,400.000000,400.000000,2.145778,0
2002-11-12,400.000000,400.000000,400.000000,400.000000,2.145778,0
2002-11-13,400.000000,400.000000,400.000000,400.000000,2.145778,0
2002-11-14,400.000000,400.000000,400.000000,400.000000,2.145778,0
2002-11-15,400.000000,400.000000,400.000000,400.000000,2.145778,0
2002-11-18,null,null,null,null,null,null
2002-11-19,null,null,null,null,null,null
2002-11-20,null,null,null,null,null,null
2002-11-21,null,null,null,null,null,null
2002-11-22,null,null,null,null,null,null
2002-11-25,null,null,null,null,null,null
2002-11-26,null,null,null,null,null,null
2002-11-27,null,null,null,null,null,null
2002-11-28,null,null,null,null,null,null
2002-11-29,null,null,null,null,null,null
2002-12-02,null,null,null,null,null,null
