Date,Open,High,Low,Close,Adj Close,Volume
2018-10-10,1925.000000,1925.000000,1925.000000,1925.000000,1905.045776,224200
2018-10-11,2390.000000,2400.000000,2390.000000,2400.000000,2375.122070,2164000
2018-10-12,2970.000000,3000.000000,2600.000000,2730.000000,2701.701172,10549500
2018-10-15,2790.000000,2950.000000,2500.000000,2510.000000,2483.981689,4579300
2018-10-16,2500.000000,2600.000000,2100.000000,2210.000000,2187.091553,2622200
2018-10-17,2210.000000,2480.000000,2210.000000,2350.000000,2325.640381,1261700
2018-10-18,2370.000000,2620.000000,2370.000000,2550.000000,2523.567139,2887400
2018-10-19,2550.000000,2680.000000,2520.000000,2540.000000,2513.670654,1537600
2018-10-22,2530.000000,2630.000000,2430.000000,2430.000000,2404.811035,952900
2018-10-23,2430.000000,2490.000000,2290.000000,2300.000000,2276.158447,796900
2018-10-24,2300.000000,2370.000000,2260.000000,2270.000000,2246.469482,397300
2018-10-25,2280.000000,2400.000000,2130.000000,2320.000000,2295.951172,804100
2018-10-26,2340.000000,2370.000000,2220.000000,2220.000000,2196.987793,297500
2018-10-29,2240.000000,2260.000000,2150.000000,2220.000000,2196.987793,443200
2018-10-30,2220.000000,2220.000000,2110.000000,2120.000000,2098.024414,367300
2018-10-31,2130.000000,2170.000000,2000.000000,2020.000000,1999.061035,643700
2018-11-01,2020.000000,2040.000000,1980.000000,2000.000000,1979.268311,301400
2018-11-02,2000.000000,2000.000000,1905.000000,1910.000000,1890.201294,418600
2018-11-05,1910.000000,2250.000000,1910.000000,1990.000000,1969.371948,1340200
2018-11-06,2020.000000,2090.000000,1950.000000,1950.000000,1929.786621,877000
2018-11-07,1980.000000,2080.000000,1950.000000,2040.000000,2018.853638,562500
2018-11-08,2050.000000,2260.000000,2040.000000,2220.000000,2196.987793,1848200
2018-11-09,2230.000000,2290.000000,2150.000000,2180.000000,2157.402344,872600
2018-11-12,2220.000000,2270.000000,2150.000000,2160.000000,2137.609863,428400
2018-11-13,2140.000000,2180.000000,2050.000000,2120.000000,2098.024414,404200
2018-11-14,2120.000000,2120.000000,2050.000000,2070.000000,2048.542725,321800
2018-11-15,2070.000000,2070.000000,2000.000000,2020.000000,1999.061035,215700
2018-11-16,2030.000000,2080.000000,2020.000000,2040.000000,2018.853638,144300
2018-11-19,2040.000000,2070.000000,2000.000000,2020.000000,1999.061035,179900
2018-11-20,2020.000000,2020.000000,2020.000000,2020.000000,1999.061035,0
2018-11-21,2000.000000,2020.000000,1990.000000,1990.000000,1969.371948,325600
2018-11-22,1995.000000,2210.000000,1990.000000,2080.000000,2058.438965,1323000
2018-11-23,2090.000000,2130.000000,2000.000000,2000.000000,1979.268311,382900
2018-11-26,2010.000000,2040.000000,1975.000000,1995.000000,1974.320190,322800
2018-11-27,1995.000000,2030.000000,1985.000000,2000.000000,1979.268311,170000
2018-11-28,2000.000000,2040.000000,1985.000000,1995.000000,1974.320190,198900
2018-11-29,1995.000000,2030.000000,1980.000000,1985.000000,1964.423828,203600
2018-11-30,2000.000000,2000.000000,1985.000000,1990.000000,1969.371948,143600
2018-12-03,1995.000000,1995.000000,1980.000000,1985.000000,1964.423828,150700
2018-12-04,1985.000000,1995.000000,1975.000000,1980.000000,1959.475586,156500
2018-12-05,1980.000000,1980.000000,1960.000000,1965.000000,1944.631104,124600
2018-12-06,1965.000000,1990.000000,1925.000000,1965.000000,1944.631104,97300
2018-12-07,1950.000000,1975.000000,1930.000000,1955.000000,1934.734741,297500
