Date,Open,High,Low,Close,Adj Close,Volume
2008-05-15,250.000000,262.500000,204.167007,229.167007,203.305893,800155800
2008-05-16,233.332993,237.500000,220.832993,229.167007,203.305893,190186800
2008-05-21,220.832993,220.832993,212.500000,212.500000,188.519745,56500800
2008-05-22,208.332993,229.167007,208.332993,220.832993,195.912369,287221800
2008-05-23,220.832993,225.000000,208.332993,212.500000,188.519745,82373400
2008-05-26,212.500000,229.167007,212.500000,225.000000,199.609161,234186600
2008-05-27,229.167007,250.000000,225.000000,233.332993,207.001770,607266000
2008-05-28,241.667007,241.667007,233.332993,237.500000,210.698532,80756400
2008-05-29,237.500000,241.667007,225.000000,233.332993,207.001770,78669000
2008-05-30,233.332993,237.500000,225.000000,233.332993,207.001770,69196800
2008-06-02,233.332993,241.667007,229.167007,229.167007,203.305893,79017000
2008-06-03,233.332993,237.500000,225.000000,233.332993,207.001770,62603400
2008-06-04,229.167007,233.332993,225.000000,229.167007,203.305893,51295200
2008-06-05,237.500000,237.500000,220.832993,237.500000,210.698532,31194000
2008-06-06,229.167007,241.667007,229.167007,229.167007,203.305893,29882400
2008-06-09,233.332993,237.500000,225.000000,233.332993,207.001770,37333800
2008-06-10,233.332993,233.332993,225.000000,225.000000,199.609161,28972200
2008-06-11,229.167007,233.332993,225.000000,229.167007,203.305893,17886600
2008-06-12,233.332993,233.332993,225.000000,233.332993,207.001770,10167000
2008-06-13,229.167007,241.667007,229.167007,237.500000,210.698532,88279800
2008-06-16,229.167007,237.500000,229.167007,229.167007,203.305893,17879400
2008-06-17,229.167007,233.332993,229.167007,229.167007,203.305893,22693200
2008-06-18,229.167007,237.500000,229.167007,229.167007,203.305893,8127600
2008-06-19,229.167007,233.332993,225.000000,229.167007,203.305893,11351400
2008-06-20,237.500000,241.667007,229.167007,237.500000,210.698532,95892000
2008-06-23,237.500000,237.500000,233.332993,237.500000,210.698532,9568200
2008-06-24,241.667007,245.832993,233.332993,241.667007,214.395309,67712400
2008-06-25,237.500000,241.667007,233.332993,237.500000,210.698532,7133400
2008-06-26,237.500000,241.667007,233.332993,237.500000,210.698532,10177800
2008-06-27,237.500000,237.500000,229.167007,237.500000,210.698532,9952800
2008-06-30,229.167007,237.500000,229.167007,229.167007,203.305893,2072400
2008-07-01,233.332993,237.500000,229.167007,233.332993,207.001770,8589000
2008-07-02,229.167007,237.500000,225.000000,229.167007,203.305893,50733600
2008-07-03,220.832993,229.167007,216.667007,220.832993,195.912369,25659000
2008-07-04,225.000000,225.000000,220.832993,225.000000,199.609161,11079600
2008-07-07,225.000000,229.167007,220.832993,225.000000,199.609161,3106200
2008-07-08,216.667007,225.000000,216.667007,216.667007,192.216507,9443400
2008-07-09,220.832993,225.000000,216.667007,220.832993,195.912369,10633800
2008-07-10,216.667007,220.832993,212.500000,216.667007,192.216507,9502800
2008-07-11,220.832993,220.832993,212.500000,220.832993,195.912369,13186800
2008-07-14,216.667007,220.832993,212.500000,216.667007,192.216507,5308200
2008-07-15,212.500000,212.500000,208.332993,212.500000,188.519745,14787000
2008-07-16,208.332993,212.500000,204.167007,208.332993,184.822983,20988600
2008-07-17,212.500000,212.500000,187.500000,191.667007,170.037720,74175000
2008-07-18,187.500000,191.667007,175.000000,187.500000,166.340942,35378400
2008-07-21,195.832993,195.832993,183.332993,195.832993,173.733582,12050400
2008-07-22,191.667007,195.832993,187.500000,191.667007,170.037720,2189400
2008-07-23,187.500000,191.667007,183.332993,187.500000,166.340942,9592200
2008-07-24,191.667007,191.667007,179.167007,191.667007,170.037720,20334000
2008-07-25,195.832993,200.000000,187.500000,195.832993,173.733582,21923400
2008-07-28,195.832993,195.832993,191.667007,195.832993,173.733582,5319000
2008-07-29,187.500000,191.667007,183.332993,187.500000,166.340942,5526000
2008-07-31,191.667007,195.832993,187.500000,191.667007,170.037720,10617000
2008-08-01,191.667007,191.667007,187.500000,191.667007,170.037720,3487200
2008-08-04,187.500000,191.667007,183.332993,187.500000,166.340942,2434200
2008-08-05,187.500000,187.500000,170.832993,175.000000,155.251556,18280200
2008-08-06,166.667007,179.167007,162.500000,166.667007,147.858917,34930800
2008-08-07,162.500000,170.832993,158.332993,162.500000,144.162170,17121000
2008-08-08,160.000000,166.667007,159.167007,160.000000,141.944275,16396200
2008-08-11,159.167007,160.000000,145.832993,145.832993,129.375992,13445400
2008-08-12,140.000000,146.667007,139.167007,140.000000,124.201241,19867800
2008-08-13,145.000000,146.667007,138.332993,145.000000,128.636993,15945000
2008-08-14,145.832993,166.667007,145.832993,166.667007,147.858917,26274000
2008-08-15,170.832993,170.832993,154.167007,158.332993,140.465393,14686200
2008-08-19,158.332993,158.332993,147.500000,147.500000,130.854874,5745000
2008-08-20,153.332993,154.167007,149.167007,153.332993,136.029633,9073200
2008-08-21,160.000000,162.500000,155.000000,160.000000,141.944275,16329000
2008-08-22,162.500000,166.667007,162.500000,162.500000,144.162170,31290000
2008-08-25,160.000000,162.500000,155.832993,160.000000,141.944275,8454000
2008-08-26,157.500000,160.000000,155.832993,157.500000,139.726395,4846200
2008-08-27,158.332993,160.832993,157.500000,158.332993,140.465393,3906600
2008-08-28,160.000000,160.832993,157.500000,160.000000,141.944275,3549000
2008-08-29,158.332993,160.000000,156.667007,158.332993,140.465393,956400
2008-09-01,160.832993,163.332993,157.500000,160.832993,142.683289,12469200
2008-09-02,155.832993,160.000000,154.167007,155.832993,138.247513,7532400
2008-09-03,151.667007,155.832993,150.000000,151.667007,134.551651,3705600
2008-09-04,146.667007,149.167007,143.332993,146.667007,130.115891,11864400
2008-09-05,143.332993,144.167007,138.332993,143.332993,127.158119,4204800
2008-09-08,145.832993,146.667007,144.167007,145.832993,129.375992,3852600
2008-09-09,139.167007,145.000000,137.500000,139.167007,123.462250,16147200
2008-09-10,133.332993,137.500000,129.167007,133.332993,118.286591,14880000
2008-09-11,132.500000,133.332993,129.167007,132.500000,117.547592,11748600
2008-09-12,128.332993,134.167007,125.000000,128.332993,113.850845,10275000
2008-09-15,125.000000,125.833000,110.833000,111.667000,99.065575,12420000
2008-09-16,100.000000,104.167000,90.833298,100.000000,88.715172,25137600
2008-09-17,105.833000,115.833000,101.667000,105.833000,93.889931,9168000
2008-09-18,104.167000,112.500000,103.333000,110.833000,98.325691,19661400
2008-09-19,115.000000,119.167000,112.500000,115.000000,102.022446,11896800
2008-09-22,115.000000,122.500000,115.000000,115.000000,102.022446,11221200
2008-09-23,115.000000,118.333000,115.000000,115.000000,102.022446,2983200
2008-09-24,115.000000,125.000000,112.500000,125.000000,110.893974,7590000
2008-09-25,116.667000,120.833000,115.833000,116.667000,103.501335,1795800
2008-09-26,115.000000,116.667000,115.000000,115.000000,102.022446,1842600
2008-10-06,112.500000,112.500000,91.666702,91.666702,81.322266,5293200
2008-10-07,85.833298,92.500000,84.166702,90.833298,80.582924,5764800
2008-10-08,83.333298,87.500000,79.166702,83.333298,73.929283,4624800
2008-10-09,null,null,null,null,null,null
2008-10-10,null,null,null,null,null,null
2008-10-13,82.500000,83.333298,75.000000,82.500000,73.190018,18550800
2008-10-14,83.333298,90.000000,83.333298,90.000000,79.843666,17498400
2008-10-15,83.333298,98.333298,81.666702,98.333298,87.236557,17473200
2008-10-16,89.166702,89.166702,89.166702,89.166702,79.104393,238800
2008-10-17,80.833298,85.000000,80.833298,80.833298,71.711403,5800200
2008-10-20,81.666702,84.166702,73.333298,81.666702,72.450752,12135000
2008-10-21,83.333298,84.166702,79.166702,83.333298,73.929283,4347600
2008-10-22,76.666702,79.166702,75.000000,76.666702,68.014992,9634800
2008-10-23,70.833298,72.500000,69.166702,70.833298,62.839893,4547400
2008-10-24,64.166702,67.500000,64.166702,65.000000,57.664864,5943000
2008-10-27,59.166698,61.666698,59.166698,59.166698,52.489838,2177400
2008-10-28,54.166698,62.500000,53.333302,59.166698,52.489838,3955200
2008-10-29,65.000000,65.000000,55.833302,60.000000,53.229103,1942200
2008-10-30,61.666698,65.833298,60.833302,65.833298,58.404129,3332400
2008-10-31,66.666702,71.666702,65.833298,66.666702,59.143478,7598400
2008-11-03,70.000000,80.000000,70.000000,78.333298,69.493523,6093600
2008-11-04,78.333298,82.500000,73.333298,78.333298,69.493523,3553200
2008-11-05,81.666702,84.166702,75.000000,75.000000,66.536369,4777800
2008-11-06,70.833298,70.833298,68.333298,70.833298,62.839893,1650000
2008-11-07,66.666702,78.333298,66.666702,78.333298,69.493523,1621200
2008-11-10,79.166702,79.166702,74.166702,75.000000,66.536369,2913600
2008-11-11,72.500000,75.000000,71.666702,72.500000,64.318497,309600
2008-11-12,75.000000,75.000000,70.833298,75.000000,66.536369,82800
2008-11-13,69.166702,70.000000,68.333298,69.166702,61.361355,70200
2008-11-14,72.500000,72.500000,70.000000,72.500000,64.318497,12492600
2008-11-17,67.500000,73.333298,67.500000,72.500000,64.318497,4038600
2008-11-18,70.833298,70.833298,66.666702,70.833298,62.839893,4534800
