Date,Open,High,Low,Close,Adj Close,Volume
2004-04-12,8.632230,9.573930,7.062730,7.062730,7.062730,4314027036
2004-04-13,7.219680,7.533580,7.062730,7.376630,7.376630,590444162
2004-04-14,7.533580,8.318330,7.533580,7.690530,7.690530,3121351492
2004-04-15,7.847480,8.161380,6.748830,6.748830,6.748830,2022336562
2004-04-16,6.905780,7.219680,6.434940,6.591880,6.591880,1339346793
2004-04-19,6.591880,6.748830,5.022390,5.650190,5.650190,2197806857
2004-04-20,5.650190,6.434940,5.650190,6.277990,6.277990,763652585
2004-04-21,6.277990,6.748830,6.277990,6.748830,6.748830,605847192
2004-04-22,6.748830,7.062730,6.748830,6.905780,6.905780,312966626
2004-04-23,6.905780,7.062730,6.905780,6.905780,6.905780,365292327
2004-04-26,6.905780,7.062730,6.905780,6.905780,6.905780,226266843
2004-04-27,6.905780,6.905780,6.748830,6.748830,6.748830,232463098
2004-04-28,6.748830,6.748830,6.748830,6.748830,6.748830,38133250
2004-04-29,6.748830,6.748830,6.277990,6.591880,6.591880,93453542
2004-04-30,6.434940,6.591880,6.277990,6.434940,6.434940,43612715
2004-05-03,null,null,null,null,null,null
2004-05-04,6.277990,6.277990,6.277990,6.277990,6.277990,18158691
2004-05-05,6.277990,6.277990,6.121040,6.121040,6.121040,41255271
2004-05-06,6.121040,6.121040,5.964090,5.964090,5.964090,286317951
2004-05-07,5.964090,5.964090,5.964090,5.964090,5.964090,20229419
2004-05-10,5.650190,5.650190,4.551540,4.551540,4.551540,14893312
2004-05-11,4.865440,5.336290,4.865440,5.336290,5.336290,5590965
2004-05-12,5.807140,5.807140,5.650190,5.650190,5.650190,2230015
2004-05-13,4.865440,4.865440,4.865440,4.865440,4.865440,15929
2004-05-14,4.708490,4.865440,4.708490,4.708490,4.708490,6562615
2004-05-17,4.237640,4.237640,3.609840,3.609840,3.609840,0
2004-05-18,4.080690,4.551540,3.138990,4.551540,4.551540,2230015
2004-05-19,4.394590,4.865440,3.609840,3.609840,3.609840,525646
2004-05-20,null,null,null,null,null,null
2004-05-21,3.609840,4.551540,3.609840,4.551540,4.551540,175215
2004-05-24,4.551540,4.551540,4.394590,4.394590,4.394590,4364457
2004-05-25,4.551540,4.551540,3.766790,3.766790,3.766790,0
2004-05-26,4.551540,4.551540,4.551540,4.551540,4.551540,318574
2004-05-27,4.394590,4.394590,4.237640,4.394590,4.394590,4794531
2004-05-28,4.237640,4.237640,4.080690,4.080690,4.080690,0
2004-05-31,4.237640,5.179340,4.237640,5.179340,5.179340,64351851
2004-06-01,5.022390,5.022390,4.865440,5.022390,5.022390,30328199
2004-06-02,5.179340,5.336290,5.022390,5.179340,5.179340,97212710
2004-06-03,null,null,null,null,null,null
2004-06-04,5.022390,5.022390,4.708490,4.865440,4.865440,58458241
2004-06-07,5.022390,5.964090,5.022390,5.807140,5.807140,783436000
2004-06-08,5.964090,5.964090,5.493240,5.650190,5.650190,212377037
2004-06-09,5.807140,5.807140,5.807140,5.807140,5.807140,68302163
2004-06-10,5.650190,5.650190,5.650190,5.650190,5.650190,46559520
2004-06-11,5.650190,5.807140,5.650190,5.807140,5.807140,101401951
2004-06-14,5.650190,5.807140,5.650190,5.650190,5.650190,69576457
2004-06-15,5.650190,6.905780,5.650190,6.905780,6.905780,2849687922
2004-06-16,6.905780,7.219680,5.022390,5.336290,5.336290,2629489905
2004-06-17,5.336290,5.650190,5.179340,5.179340,5.179340,579915307
2004-06-18,5.336290,5.336290,4.865440,4.865440,4.865440,340284305
2004-06-21,4.865440,5.179340,4.865440,5.179340,5.179340,232319739
2004-06-22,5.022390,5.336290,5.022390,5.336290,5.336290,138213122
2004-06-23,5.336290,5.336290,3.609840,3.609840,3.609840,2500786203
2004-06-24,3.609840,4.080690,3.452890,3.766790,3.766790,736749051
2004-06-25,3.923740,4.080690,2.511190,2.668140,2.668140,2877722392
2004-06-28,2.668140,2.668140,2.354240,2.354240,2.354240,133832736
2004-06-29,2.511190,2.511190,2.511190,2.511190,2.511190,18477264
2004-06-30,2.511190,2.511190,2.511190,2.511190,2.511190,14654382
2004-07-01,2.354240,2.511190,2.354240,2.354240,2.354240,11468647
2004-07-02,2.354240,2.511190,2.354240,2.511190,2.511190,4667102
2004-07-05,null,null,null,null,null,null
2004-07-06,2.511190,2.511190,2.354240,2.511190,2.511190,11771292
2004-07-07,2.511190,2.511190,2.354240,2.511190,2.511190,10927072
2004-07-08,2.511190,2.511190,2.197290,2.354240,2.354240,20468349
2004-07-09,1.883400,2.197290,1.883400,2.040350,2.040350,17887903
2004-07-12,2.040350,2.197290,2.040350,2.197290,2.197290,2707875
2004-07-13,2.040350,2.197290,1.883400,2.040350,2.040350,8219197
2004-07-14,1.883400,2.040350,1.883400,2.040350,2.040350,5113105
2004-07-15,2.040350,2.197290,2.040350,2.040350,2.040350,14367666
2004-07-16,1.883400,2.197290,1.883400,2.197290,2.197290,4794531
2004-07-19,2.197290,2.197290,2.040350,2.040350,2.040350,2930876
2004-07-20,2.197290,2.197290,1.883400,1.883400,1.883400,5256463
2004-07-21,2.040350,2.197290,1.883400,2.197290,2.197290,7167904
2004-07-22,2.040350,2.197290,1.883400,2.040350,2.040350,16072034
2004-07-23,1.883400,2.040350,1.883400,2.040350,2.040350,8139553
2004-07-26,2.040350,2.040350,2.040350,2.040350,2.040350,8920059
2004-07-27,2.197290,2.354240,2.040350,2.040350,2.040350,540698907
2004-07-28,2.197290,2.354240,2.197290,2.197290,2.197290,1496037179
2004-07-29,2.197290,2.197290,2.040350,2.040350,2.040350,91988104
2004-07-30,2.197290,2.197290,2.040350,2.040350,2.040350,3663595
2004-08-02,2.040350,2.040350,2.040350,2.040350,2.040350,5415750
2004-08-03,2.040350,2.040350,2.040350,2.040350,2.040350,13300444
2004-08-04,2.040350,2.040350,1.883400,2.040350,2.040350,7709479
2004-08-05,1.883400,2.040350,1.883400,2.040350,2.040350,15944605
2004-08-06,1.883400,2.040350,1.883400,1.883400,1.883400,9015631
2004-08-09,1.883400,2.040350,1.883400,2.040350,2.040350,7534264
2004-08-10,2.040350,2.040350,1.883400,2.040350,2.040350,4284814
2004-08-11,1.883400,2.040350,1.726450,2.040350,2.040350,7247548
2004-08-12,2.040350,2.040350,1.726450,1.726450,1.726450,7231619
2004-08-13,1.726450,1.726450,1.569500,1.726450,1.726450,9812064
2004-08-16,1.569500,1.569500,1.569500,1.569500,1.569500,18158691
2004-08-17,null,null,null,null,null,null
2004-08-18,1.569500,1.569500,1.569500,1.569500,1.569500,3982169
2004-08-19,1.412550,1.569500,1.255600,1.569500,1.569500,43485285
2004-08-20,1.569500,1.726450,1.569500,1.726450,1.726450,334502
2004-08-23,1.412550,1.412550,1.412550,1.412550,1.412550,3759168
2004-08-24,1.412550,1.569500,1.412550,1.569500,1.569500,5957325
2004-08-25,1.412550,1.569500,1.412550,1.569500,1.569500,8856344
2004-08-26,1.412550,1.412550,1.412550,1.412550,1.412550,1433581
2004-08-27,1.412550,1.412550,1.412550,1.412550,1.412550,3217593
2004-08-30,1.412550,1.412550,1.412550,1.412550,1.412550,4874175
2004-08-31,1.255600,1.412550,1.255600,1.412550,1.412550,1608796
2004-09-01,1.255600,1.412550,1.255600,1.255600,1.255600,22379790
2004-09-02,1.412550,1.412550,1.412550,1.412550,1.412550,15929
2004-09-03,1.412550,1.412550,1.255600,1.412550,1.412550,7199762
2004-09-06,1.412550,1.412550,1.255600,1.255600,1.255600,0
2004-09-07,1.255600,1.412550,1.255600,1.412550,1.412550,653076
2004-09-08,1.412550,1.569500,1.412550,1.569500,1.569500,5113105
2004-09-09,1.412550,1.412550,1.255600,1.412550,1.412550,4093670
2004-09-10,1.412550,1.569500,1.412550,1.412550,1.412550,7183833
2004-09-13,null,null,null,null,null,null
2004-09-14,1.412550,1.412550,1.412550,1.412550,1.412550,1608796
2004-09-15,1.569500,1.726450,1.412550,1.412550,1.412550,15084456
2004-09-16,1.412550,1.412550,1.412550,1.412550,1.412550,15929
2004-09-17,1.412550,1.412550,1.412550,1.412550,1.412550,3966240
2004-09-20,null,null,null,null,null,null
