Date,Open,High,Low,Close,Adj Close,Volume
2001-09-20,38.520500,38.520500,38.520500,38.520500,2.655858,59059
2001-09-21,82.967201,82.967201,39.113098,39.113098,2.696716,0
2001-09-24,null,null,null,null,null,null
2001-09-25,null,null,null,null,null,null
2001-09-26,null,null,null,null,null,null
2001-09-27,null,null,null,null,null,null
2001-09-28,null,null,null,null,null,null
2001-10-01,null,null,null,null,null,null
2001-10-02,null,null,null,null,null,null
2001-10-03,null,null,null,null,null,null
2001-10-04,null,null,null,null,null,null
2001-10-05,null,null,null,null,null,null
2001-10-08,null,null,null,null,null,null
2001-10-09,null,null,null,null,null,null
2001-10-10,null,null,null,null,null,null
2001-10-11,null,null,null,null,null,null
2001-10-12,null,null,null,null,null,null
2001-10-15,null,null,null,null,null,null
2001-10-16,null,null,null,null,null,null
2001-10-17,null,null,null,null,null,null
2001-10-18,null,null,null,null,null,null
2001-10-19,null,null,null,null,null,null
2001-10-22,null,null,null,null,null,null
2001-10-23,null,null,null,null,null,null
2001-10-24,null,null,null,null,null,null
2001-10-25,null,null,null,null,null,null
2001-10-26,null,null,null,null,null,null
2001-10-29,null,null,null,null,null,null
2001-10-30,null,null,null,null,null,null
2001-10-31,58.669701,58.669701,38.520500,38.520500,2.655858,0
2001-11-01,58.669701,58.669701,30.223801,30.223801,2.083829,0
2001-11-02,58.669701,58.669701,30.223801,30.223801,2.083829,0
2001-11-05,58.669701,58.669701,30.223801,30.223801,2.083829,0
2001-11-06,58.669701,58.669701,30.223801,30.223801,2.083829,0
2001-11-07,58.669701,58.669701,41.483601,41.483601,2.860155,0
2001-11-08,42.668800,42.668800,42.668800,42.668800,2.941870,50622
2001-11-09,null,null,null,null,null,null
2001-11-12,null,null,null,null,null,null
2001-11-13,null,null,null,null,null,null
2001-11-14,null,null,null,null,null,null
2001-11-15,null,null,null,null,null,null
2001-11-16,null,null,null,null,null,null
2001-11-19,null,null,null,null,null,null
2001-11-20,null,null,null,null,null,null
2001-11-21,null,null,null,null,null,null
2001-11-22,null,null,null,null,null,null
2001-11-23,null,null,null,null,null,null
2001-11-26,null,null,null,null,null,null
2001-11-27,null,null,null,null,null,null
2001-11-28,null,null,null,null,null,null
2001-11-29,null,null,null,null,null,null
2001-11-30,null,null,null,null,null,null
2001-12-03,null,null,null,null,null,null
2001-12-04,56.891800,56.891800,29.631100,29.631100,2.042964,0
2001-12-05,null,null,null,null,null,null
2001-12-06,43.261501,47.409801,43.261501,47.409801,3.268746,232019
2001-12-07,null,null,null,null,null,null
2001-12-10,null,null,null,null,null,null
2001-12-11,47.409801,47.409801,39.113098,39.113098,2.696716,0
2001-12-12,47.409801,47.409801,36.150002,36.150002,2.492421,0
2001-12-13,47.409801,47.409801,39.113098,39.113098,2.696716,0
2001-12-14,null,null,null,null,null,null
2001-12-17,null,null,null,null,null,null
2001-12-18,null,null,null,null,null,null
2001-12-19,null,null,null,null,null,null
2001-12-20,null,null,null,null,null,null
2001-12-21,null,null,null,null,null,null
2001-12-24,null,null,null,null,null,null
2001-12-25,null,null,null,null,null,null
2001-12-26,56.891800,56.891800,35.557400,35.557400,2.451563,0
2001-12-27,57.484402,57.484402,35.557400,35.557400,2.451563,0
2001-12-28,44.446701,44.446701,44.446701,44.446701,3.064450,21093
2001-12-31,null,null,null,null,null,null
2002-01-01,null,null,null,null,null,null
2002-01-02,52.743401,52.743401,41.483601,41.483601,2.860155,0
2002-01-03,null,null,null,null,null,null
2002-01-04,56.891800,56.891800,38.520500,38.520500,2.655858,0
