Date,Open,High,Low,Close,Adj Close,Volume
2002-05-03,242.500000,242.500000,155.000000,155.000000,128.617020,0
2002-05-06,242.500000,242.500000,200.000000,200.000000,165.957458,0
2002-05-07,212.500000,212.500000,200.000000,200.000000,165.957458,15000
2002-05-08,220.000000,220.000000,190.000000,190.000000,157.659576,0
2002-05-09,null,null,null,null,null,null
2002-05-10,null,null,null,null,null,null
2002-05-13,200.000000,200.000000,165.000000,165.000000,136.914902,0
2002-05-14,null,null,null,null,null,null
2002-05-15,222.500000,222.500000,157.500000,157.500000,130.691498,0
2002-05-16,237.500000,237.500000,160.000000,160.000000,132.765961,0
2002-05-17,null,null,null,null,null,null
2002-05-20,220.000000,220.000000,155.000000,155.000000,128.617020,0
2002-05-21,235.000000,235.000000,165.000000,165.000000,136.914902,0
2002-05-22,230.000000,230.000000,140.000000,140.000000,116.170212,0
2002-05-23,null,null,null,null,null,null
2002-05-24,232.500000,232.500000,152.500000,152.500000,126.542557,0
2002-05-27,225.000000,225.000000,137.500000,137.500000,114.095749,0
2002-05-28,225.000000,225.000000,165.000000,165.000000,136.914902,0
2002-05-29,232.500000,232.500000,142.500000,142.500000,118.244682,0
2002-05-30,232.500000,232.500000,142.500000,142.500000,118.244682,0
2002-05-31,227.500000,227.500000,197.500000,197.500000,163.882980,0
2002-06-03,217.500000,217.500000,187.500000,187.500000,155.585114,0
2002-06-04,210.000000,210.000000,187.500000,187.500000,155.585114,0
2002-06-05,220.000000,220.000000,147.500000,147.500000,122.393623,0
2002-06-06,200.000000,200.000000,137.500000,137.500000,114.095749,0
2002-06-07,null,null,null,null,null,null
2002-06-10,null,null,null,null,null,null
2002-06-11,207.500000,207.500000,130.000000,130.000000,107.872345,0
2002-06-12,null,null,null,null,null,null
2002-06-13,null,null,null,null,null,null
2002-06-14,null,null,null,null,null,null
2002-06-17,200.000000,200.000000,152.500000,152.500000,126.542557,0
2002-06-18,217.500000,217.500000,135.000000,135.000000,112.021278,0
2002-06-19,200.000000,200.000000,152.500000,152.500000,126.542557,0
2002-06-20,null,null,null,null,null,null
2002-06-21,null,null,null,null,null,null
2002-06-24,null,null,null,null,null,null
2002-06-25,null,null,null,null,null,null
2002-06-26,155.000000,155.000000,155.000000,155.000000,128.617020,5000
2002-06-27,182.500000,182.500000,180.000000,180.000000,149.361710,3000
2002-06-28,155.000000,155.000000,155.000000,155.000000,128.617020,1000
2002-07-01,null,null,null,null,null,null
2002-07-02,null,null,null,null,null,null
2002-07-03,200.000000,200.000000,152.500000,152.500000,126.542557,0
2002-07-04,null,null,null,null,null,null
2002-07-05,null,null,null,null,null,null
2002-07-08,null,null,null,null,null,null
2002-07-09,172.500000,172.500000,140.000000,140.000000,116.170212,0
2002-07-10,null,null,null,null,null,null
2002-07-11,null,null,null,null,null,null
2002-07-12,null,null,null,null,null,null
2002-07-15,180.000000,180.000000,180.000000,180.000000,149.361710,1000
2002-07-16,null,null,null,null,null,null
2002-07-17,null,null,null,null,null,null
2002-07-18,null,null,null,null,null,null
2002-07-19,205.000000,205.000000,152.500000,152.500000,126.542557,0
2002-07-22,205.000000,205.000000,157.500000,157.500000,130.691498,0
2002-07-23,205.000000,205.000000,165.000000,165.000000,136.914902,0
2002-07-24,175.000000,175.000000,175.000000,175.000000,145.212769,10000
2002-07-25,175.000000,175.000000,175.000000,175.000000,145.212769,10000
2002-07-26,152.500000,152.500000,152.500000,152.500000,126.542557,5000
2002-07-29,195.000000,195.000000,152.500000,152.500000,126.542557,0
2002-07-30,177.500000,177.500000,152.500000,152.500000,126.542557,0
2002-07-31,182.500000,182.500000,182.500000,182.500000,151.436172,1000
2002-08-01,187.500000,187.500000,162.500000,162.500000,134.840424,0
2002-08-02,207.500000,207.500000,152.500000,152.500000,126.542557,0
2002-08-05,null,null,null,null,null,null
2002-08-06,null,null,null,null,null,null
2002-08-07,null,null,null,null,null,null
2002-08-08,null,null,null,null,null,null
2002-08-09,null,null,null,null,null,null
2002-08-12,null,null,null,null,null,null
2002-08-13,212.500000,212.500000,212.500000,212.500000,176.329788,0
2002-08-14,212.500000,212.500000,212.500000,212.500000,176.329788,0
2002-08-15,200.000000,200.000000,200.000000,200.000000,165.957458,0
2002-08-16,212.500000,212.500000,212.500000,212.500000,176.329788,0
2002-08-19,212.500000,212.500000,212.500000,212.500000,176.329788,0
2002-08-20,null,null,null,null,null,null
2002-08-21,212.500000,212.500000,212.500000,212.500000,176.329788,0
2002-08-22,212.500000,212.500000,212.500000,212.500000,176.329788,0
2002-08-23,null,null,null,null,null,null
2002-08-26,137.500000,137.500000,137.500000,137.500000,114.095749,13000
2002-08-27,175.000000,175.000000,127.500000,127.500000,105.797874,0
2002-08-28,162.500000,162.500000,137.500000,137.500000,114.095749,0
2002-08-29,162.500000,162.500000,162.500000,162.500000,134.840424,13000
2002-08-30,null,null,null,null,null,null
2002-09-02,null,null,null,null,null,null
2002-09-03,null,null,null,null,null,null
2002-09-04,null,null,null,null,null,null
2002-09-05,null,null,null,null,null,null
2002-09-06,212.500000,212.500000,140.000000,140.000000,116.170212,0
2002-09-09,null,null,null,null,null,null
2002-09-10,null,null,null,null,null,null
2002-09-11,null,null,null,null,null,null
2002-09-12,162.500000,162.500000,162.500000,162.500000,134.840424,0
2002-09-13,null,null,null,null,null,null
2002-09-16,null,null,null,null,null,null
2002-09-17,null,null,null,null,null,null
2002-09-18,null,null,null,null,null,null
2002-09-19,null,null,null,null,null,null
2002-09-20,null,null,null,null,null,null
2002-09-23,null,null,null,null,null,null
2002-09-24,null,null,null,null,null,null
2002-09-25,212.500000,212.500000,212.500000,212.500000,176.329788,0
2002-09-26,200.000000,200.000000,200.000000,200.000000,165.957458,0
2002-09-27,null,null,null,null,null,null
2002-09-30,null,null,null,null,null,null
2002-10-01,200.000000,200.000000,200.000000,200.000000,165.957458,0
2002-10-02,197.500000,197.500000,197.500000,197.500000,163.882980,0
2002-10-03,null,null,null,null,null,null
2002-10-04,null,null,null,null,null,null
2002-10-07,null,null,null,null,null,null
2002-10-08,null,null,null,null,null,null
2002-10-09,null,null,null,null,null,null
2002-10-10,null,null,null,null,null,null
2002-10-11,null,null,null,null,null,null
2002-10-14,null,null,null,null,null,null
2002-10-15,null,null,null,null,null,null
2002-10-16,null,null,null,null,null,null
2002-10-17,null,null,null,null,null,null
2002-10-18,null,null,null,null,null,null
2002-10-21,162.500000,162.500000,162.500000,162.500000,134.840424,0
2002-10-22,null,null,null,null,null,null
2002-10-23,null,null,null,null,null,null
2002-10-24,null,null,null,null,null,null
2002-10-25,200.000000,200.000000,200.000000,200.000000,165.957458,0
2002-10-28,212.500000,212.500000,212.500000,212.500000,176.329788,0
2002-10-29,212.500000,212.500000,212.500000,212.500000,176.329788,0
2002-10-30,212.500000,212.500000,212.500000,212.500000,176.329788,0
2002-10-31,207.500000,207.500000,207.500000,207.500000,172.180862,0
2002-11-01,212.500000,212.500000,212.500000,212.500000,176.329788,0
2002-11-04,null,null,null,null,null,null
2002-11-05,207.500000,207.500000,207.500000,207.500000,172.180862,0
2002-11-06,212.500000,212.500000,212.500000,212.500000,176.329788,0
2002-11-07,212.500000,212.500000,212.500000,212.500000,176.329788,0
2002-11-08,207.500000,207.500000,207.500000,207.500000,172.180862,0
2002-11-11,212.500000,212.500000,212.500000,212.500000,176.329788,0
2002-11-12,207.500000,207.500000,207.500000,207.500000,172.180862,0
2002-11-13,212.500000,212.500000,212.500000,212.500000,176.329788,0
2002-11-14,195.000000,195.000000,195.000000,195.000000,161.808517,0
2002-11-15,162.500000,162.500000,162.500000,162.500000,134.840424,0
2002-11-18,null,null,null,null,null,null
2002-11-19,null,null,null,null,null,null
2002-11-20,null,null,null,null,null,null
2002-11-21,null,null,null,null,null,null
2002-11-22,212.500000,212.500000,112.500000,112.500000,93.351067,0
2002-11-25,187.500000,187.500000,112.500000,112.500000,93.351067,0
2002-11-26,null,null,null,null,null,null
2002-11-27,null,null,null,null,null,null
2002-11-28,null,null,null,null,null,null
2002-11-29,null,null,null,null,null,null
2002-12-02,null,null,null,null,null,null
2002-12-03,null,null,null,null,null,null
2002-12-04,null,null,null,null,null,null
2002-12-05,null,null,null,null,null,null
2002-12-06,null,null,null,null,null,null
2002-12-09,null,null,null,null,null,null
2002-12-10,null,null,null,null,null,null
2002-12-11,null,null,null,null,null,null
2002-12-12,null,null,null,null,null,null
2002-12-13,null,null,null,null,null,null
2002-12-16,null,null,null,null,null,null
2002-12-17,null,null,null,null,null,null
2002-12-18,null,null,null,null,null,null
2002-12-19,null,null,null,null,null,null
2002-12-20,null,null,null,null,null,null
2002-12-23,null,null,null,null,null,null
2002-12-24,null,null,null,null,null,null
2002-12-25,null,null,null,null,null,null
2002-12-26,null,null,null,null,null,null
2002-12-27,null,null,null,null,null,null
2002-12-30,null,null,null,null,null,null
2002-12-31,null,null,null,null,null,null
2003-01-01,null,null,null,null,null,null
2003-01-02,null,null,null,null,null,null
2003-01-03,null,null,null,null,null,null
2003-01-06,187.500000,187.500000,187.500000,187.500000,155.585114,0
2003-01-07,182.500000,182.500000,182.500000,182.500000,151.436172,0
2003-01-08,187.500000,187.500000,187.500000,187.500000,155.585114,0
2003-01-09,187.500000,187.500000,187.500000,187.500000,155.585114,0
2003-01-10,187.500000,187.500000,187.500000,187.500000,155.585114,0
2003-01-13,187.500000,187.500000,187.500000,187.500000,155.585114,0
2003-01-14,185.000000,185.000000,185.000000,185.000000,153.510635,0
2003-01-15,162.500000,162.500000,162.500000,162.500000,134.840424,0
2003-01-16,187.500000,187.500000,187.500000,187.500000,155.585114,0
2003-01-17,187.500000,187.500000,187.500000,187.500000,155.585114,0
2003-01-20,187.500000,187.500000,187.500000,187.500000,155.585114,0
2003-01-21,null,null,null,null,null,null
2003-01-22,187.500000,187.500000,187.500000,187.500000,155.585114,0
2003-01-23,187.500000,187.500000,187.500000,187.500000,155.585114,0
2003-01-24,187.500000,187.500000,187.500000,187.500000,155.585114,0
2003-01-27,187.500000,187.500000,187.500000,187.500000,155.585114,0
2003-01-28,187.500000,187.500000,187.500000,187.500000,155.585114,0
2003-01-29,187.500000,187.500000,187.500000,187.500000,155.585114,0
2003-01-30,160.000000,160.000000,160.000000,160.000000,132.765961,0
2003-01-31,162.500000,162.500000,162.500000,162.500000,134.840424,0
2003-02-03,null,null,null,null,null,null
2003-02-04,null,null,null,null,null,null
2003-02-05,null,null,null,null,null,null
2003-02-06,null,null,null,null,null,null
2003-02-07,null,null,null,null,null,null
2003-02-10,187.500000,187.500000,187.500000,187.500000,155.585114,0
2003-02-11,187.500000,187.500000,187.500000,187.500000,155.585114,0
2003-02-12,null,null,null,null,null,null
