Date,Open,High,Low,Close,Adj Close,Volume
2002-03-25,177.632996,196.835999,177.632996,196.835999,196.835999,3124
2002-03-26,177.632996,177.632996,172.832001,172.832001,172.832001,1041
2002-03-27,163.229996,172.832001,158.429001,163.229996,163.229996,56760
2002-03-28,168.031006,168.031006,168.031006,168.031006,168.031006,5207
2002-03-29,null,null,null,null,null,null
2002-04-01,180.000000,180.000000,165.000000,165.000000,165.000000,0
2002-04-02,180.000000,180.000000,165.000000,165.000000,165.000000,0
2002-04-03,175.000000,175.000000,160.000000,160.000000,160.000000,0
2002-04-04,168.031006,168.031006,168.031006,168.031006,168.031006,12498
2002-04-05,172.832001,172.832001,168.031006,168.031006,168.031006,33848
2002-04-08,177.632996,177.632996,177.632996,177.632996,177.632996,23433
2002-04-09,177.632996,182.432999,177.632996,182.432999,182.432999,26037
2002-04-10,168.031006,168.031006,168.031006,168.031006,168.031006,2604
2002-04-11,177.632996,177.632996,172.832001,172.832001,172.832001,117166
2002-04-12,177.632996,177.632996,177.632996,177.632996,177.632996,52074
2002-04-15,192.035004,192.035004,177.632996,177.632996,177.632996,36452
2002-04-16,177.632996,177.632996,172.832001,172.832001,172.832001,52074
2002-04-17,177.632996,187.233994,177.632996,187.233994,187.233994,78111
2002-04-18,177.632996,177.632996,177.632996,177.632996,177.632996,20830
2002-04-19,168.031006,172.832001,168.031006,172.832001,172.832001,33848
2002-04-22,182.432999,187.233994,177.632996,177.632996,177.632996,138516
2002-04-23,190.000000,190.000000,175.000000,175.000000,175.000000,0
2002-04-24,177.632996,182.432999,177.632996,182.432999,182.432999,91129
2002-04-25,182.432999,187.233994,182.432999,182.432999,182.432999,39576
2002-04-26,192.035004,201.636993,192.035004,192.035004,192.035004,233811
2002-04-29,196.835999,201.636993,192.035004,192.035004,192.035004,94254
2002-04-30,192.035004,192.035004,192.035004,192.035004,192.035004,26037
2002-05-01,192.035004,196.835999,192.035004,196.835999,196.835999,138516
2002-05-02,201.636993,216.039993,196.835999,201.636993,201.636993,52074
2002-05-03,192.035004,192.035004,192.035004,192.035004,192.035004,36452
2002-05-06,216.039993,216.039993,216.039993,216.039993,216.039993,521
2002-05-07,215.000000,215.000000,200.000000,200.000000,200.000000,0
2002-05-08,210.000000,210.000000,205.000000,205.000000,205.000000,0
2002-05-09,null,null,null,null,null,null
2002-05-10,206.438004,206.438004,201.636993,201.636993,201.636993,31244
2002-05-13,192.035004,192.035004,182.432999,182.432999,182.432999,42180
2002-05-14,182.432999,192.035004,182.432999,192.035004,192.035004,26558
2002-05-15,192.035004,192.035004,187.233994,187.233994,187.233994,49470
2002-05-16,187.233994,187.233994,187.233994,187.233994,187.233994,13018
2002-05-17,187.233994,187.233994,177.632996,177.632996,177.632996,26558
2002-05-20,177.632996,177.632996,177.632996,177.632996,177.632996,2083
2002-05-21,187.233994,187.233994,182.432999,182.432999,182.432999,11977
2002-05-22,177.632996,177.632996,172.832001,172.832001,172.832001,60926
2002-05-23,168.031006,168.031006,168.031006,168.031006,168.031006,6249
2002-05-24,168.031006,168.031006,168.031006,168.031006,168.031006,20830
2002-05-27,172.832001,172.832001,172.832001,172.832001,172.832001,27078
2002-05-28,190.000000,190.000000,180.000000,180.000000,180.000000,0
2002-05-29,177.632996,177.632996,177.632996,177.632996,177.632996,54677
2002-05-30,177.632996,177.632996,172.832001,172.832001,172.832001,18226
2002-05-31,190.000000,190.000000,180.000000,180.000000,180.000000,0
2002-06-03,172.832001,182.432999,172.832001,172.832001,172.832001,223917
2002-06-04,185.000000,185.000000,175.000000,175.000000,175.000000,0
2002-06-05,172.832001,172.832001,168.031006,172.832001,172.832001,86963
2002-06-06,177.632996,182.432999,172.832001,182.432999,182.432999,153618
2002-06-07,190.000000,190.000000,180.000000,180.000000,180.000000,0
2002-06-10,172.832001,182.432999,172.832001,172.832001,172.832001,49470
2002-06-11,177.632996,182.432999,177.632996,182.432999,182.432999,41659
2002-06-12,182.432999,182.432999,182.432999,182.432999,182.432999,26037
2002-06-13,190.000000,190.000000,180.000000,180.000000,180.000000,0
2002-06-14,190.000000,190.000000,180.000000,180.000000,180.000000,0
2002-06-17,190.000000,190.000000,180.000000,180.000000,180.000000,0
2002-06-18,172.832001,172.832001,172.832001,172.832001,172.832001,10415
2002-06-19,168.031006,168.031006,168.031006,168.031006,168.031006,5207
2002-06-20,168.031006,177.632996,168.031006,177.632996,177.632996,5728
2002-06-21,185.000000,185.000000,170.000000,170.000000,170.000000,0
2002-06-24,185.000000,185.000000,165.000000,165.000000,165.000000,0
2002-06-25,190.000000,190.000000,165.000000,165.000000,165.000000,0
2002-06-26,168.031006,172.832001,168.031006,172.832001,172.832001,58843
2002-06-27,180.000000,180.000000,165.000000,165.000000,165.000000,0
2002-06-28,180.000000,180.000000,165.000000,165.000000,165.000000,0
2002-07-01,180.000000,180.000000,160.000000,160.000000,160.000000,0
2002-07-02,163.229996,163.229996,163.229996,163.229996,163.229996,43742
2002-07-03,180.000000,180.000000,150.000000,150.000000,150.000000,0
2002-07-04,180.000000,180.000000,125.000000,125.000000,125.000000,0
2002-07-05,185.000000,185.000000,130.000000,130.000000,130.000000,0
2002-07-08,175.000000,175.000000,150.000000,150.000000,150.000000,0
2002-07-09,180.000000,180.000000,140.000000,140.000000,140.000000,0
2002-07-10,153.628006,153.628006,153.628006,153.628006,153.628006,5728
2002-07-11,175.000000,175.000000,155.000000,155.000000,155.000000,0
2002-07-12,175.000000,175.000000,135.000000,135.000000,135.000000,0
2002-07-15,170.000000,170.000000,140.000000,140.000000,140.000000,0
2002-07-16,170.000000,170.000000,120.000000,120.000000,120.000000,0
2002-07-17,115.221001,144.026001,115.221001,144.026001,144.026001,3124
2002-07-18,134.425003,134.425003,134.425003,134.425003,134.425003,1041
2002-07-19,175.000000,175.000000,140.000000,140.000000,140.000000,0
2002-07-22,175.000000,175.000000,140.000000,140.000000,140.000000,0
2002-07-23,170.000000,170.000000,135.000000,135.000000,135.000000,0
2002-07-24,170.000000,170.000000,110.000000,110.000000,110.000000,0
2002-07-25,144.026001,144.026001,144.026001,144.026001,144.026001,5207
2002-07-26,165.000000,165.000000,135.000000,135.000000,135.000000,0
2002-07-29,null,null,null,null,null,null
2002-07-30,175.000000,175.000000,115.000000,115.000000,115.000000,0
2002-07-31,170.000000,170.000000,125.000000,125.000000,125.000000,0
2002-08-01,170.000000,170.000000,130.000000,130.000000,130.000000,0
2002-08-02,170.000000,170.000000,130.000000,130.000000,130.000000,0
2002-08-05,170.000000,170.000000,130.000000,130.000000,130.000000,0
2002-08-06,120.022003,120.022003,120.022003,120.022003,120.022003,26037
2002-08-07,null,null,null,null,null,null
2002-08-08,null,null,null,null,null,null
2002-08-09,null,null,null,null,null,null
2002-08-12,null,null,null,null,null,null
2002-08-13,null,null,null,null,null,null
2002-08-14,null,null,null,null,null,null
2002-08-15,165.000000,165.000000,120.000000,120.000000,120.000000,0
2002-08-16,null,null,null,null,null,null
2002-08-19,null,null,null,null,null,null
2002-08-20,120.022003,120.022003,120.022003,120.022003,120.022003,52074
2002-08-21,148.826996,148.826996,148.826996,148.826996,148.826996,5207
2002-08-22,155.000000,155.000000,120.000000,120.000000,120.000000,0
2002-08-23,200.000000,200.000000,200.000000,200.000000,200.000000,0
2002-08-26,195.000000,195.000000,195.000000,195.000000,195.000000,0
2002-08-27,200.000000,200.000000,200.000000,200.000000,200.000000,0
2002-08-28,null,null,null,null,null,null
2002-08-29,200.000000,200.000000,200.000000,200.000000,200.000000,0
2002-08-30,160.000000,160.000000,160.000000,160.000000,160.000000,0
2002-09-02,190.000000,190.000000,190.000000,190.000000,190.000000,0
2002-09-03,195.000000,195.000000,110.000000,110.000000,110.000000,0
2002-09-04,105.000000,105.000000,105.000000,105.000000,105.000000,0
