Date,Open,High,Low,Close,Adj Close,Volume
2016-02-11,90.000000,93.000000,74.500000,77.000000,47.732830,81774000
2016-02-12,77.000000,78.000000,70.500000,75.000000,46.493015,32800000
2016-02-15,75.000000,76.000000,74.000000,74.500000,46.183064,2661000
2016-02-16,74.500000,75.500000,73.500000,74.000000,45.873112,9820000
2016-02-17,75.000000,75.000000,73.500000,74.500000,46.183064,9422000
2016-02-18,75.000000,78.000000,75.000000,76.500000,47.422878,17180000
2016-02-19,77.000000,77.000000,75.000000,75.000000,46.493015,3800000
2016-02-22,75.000000,76.000000,75.000000,75.000000,46.493015,4662000
2016-02-23,74.500000,75.000000,73.500000,73.500000,45.563152,7591000
2016-02-24,73.500000,76.000000,73.000000,73.000000,45.253201,10585000
2016-02-25,73.000000,73.500000,72.500000,73.500000,45.563152,5186000
2016-02-26,73.500000,73.500000,73.000000,73.000000,45.253201,4888000
2016-02-29,73.000000,73.000000,72.000000,72.500000,44.943245,504000
2016-03-01,72.500000,75.000000,72.500000,72.500000,44.943245,977000
2016-03-02,72.000000,72.500000,72.000000,72.000000,44.633301,1924000
2016-03-03,73.000000,73.000000,71.000000,71.000000,44.013390,3055000
2016-03-04,72.000000,72.000000,71.000000,71.000000,44.013390,2259000
2016-03-07,79.500000,79.500000,70.500000,71.500000,44.323349,3999000
2016-03-08,71.500000,73.500000,71.000000,73.500000,45.563152,4632000
2016-03-10,73.500000,74.000000,72.000000,73.500000,45.563152,2202000
2016-03-11,null,null,null,null,null,null
2016-03-14,null,null,null,null,null,null
2016-03-15,73.500000,73.500000,72.000000,72.500000,44.943245,547000
2016-03-16,72.500000,73.500000,72.000000,72.000000,44.633301,298000
2016-03-17,71.500000,72.500000,71.500000,72.500000,44.943245,402000
2016-03-18,71.000000,72.500000,71.000000,72.000000,44.633301,15000
2016-03-21,72.500000,72.500000,71.000000,71.000000,44.013390,482000
2016-03-22,72.000000,72.500000,71.000000,72.000000,44.633301,1145000
2016-03-23,71.000000,72.500000,70.500000,70.500000,43.703438,407000
2016-03-24,71.500000,71.500000,70.500000,71.000000,44.013390,268000
2016-03-28,71.500000,71.500000,70.500000,70.500000,43.703438,47000
2016-03-29,71.000000,71.500000,63.500000,63.500000,39.364086,894000
2016-03-30,63.500000,72.000000,62.000000,72.000000,44.633301,1064000
2016-03-31,68.000000,74.000000,68.000000,74.000000,45.873112,4622000
2016-04-01,74.000000,74.000000,74.000000,74.000000,45.873112,0
2016-04-04,73.000000,73.000000,70.000000,70.000000,43.393482,292000
2016-04-05,70.000000,70.000000,70.000000,70.000000,43.393482,17000
2016-04-06,70.000000,71.500000,70.000000,71.500000,44.323349,58000
2016-04-07,71.000000,71.000000,71.000000,71.000000,44.013390,73000
2016-04-08,69.500000,70.000000,69.500000,70.000000,43.393482,135000
2016-04-11,null,null,null,null,null,null
2016-04-12,70.000000,70.000000,70.000000,70.000000,43.393482,2000
