Date,Open,High,Low,Close,Adj Close,Volume
2009-07-13,2825.000000,3250.000000,2625.000000,2825.000000,2160.873291,1089000
2009-07-14,3125.000000,3150.000000,2875.000000,3125.000000,2390.346680,238500
2009-07-15,3000.000000,3125.000000,3000.000000,3000.000000,2294.732666,26000
2009-07-16,2800.000000,3050.000000,2800.000000,2800.000000,2141.750488,71000
2009-07-17,2800.000000,2800.000000,2800.000000,2800.000000,2141.750488,2500
2009-07-20,null,null,null,null,null,null
2009-07-21,3000.000000,3000.000000,2800.000000,3000.000000,2294.732666,6500
2009-07-22,3000.000000,3000.000000,3000.000000,3000.000000,2294.732666,6500
2009-07-23,3050.000000,3050.000000,3000.000000,3050.000000,2332.978516,18000
2009-07-24,3050.000000,3050.000000,3050.000000,3050.000000,2332.978516,18000
2009-07-27,3050.000000,3050.000000,3050.000000,3050.000000,2332.978516,18000
2009-07-28,3000.000000,3000.000000,3000.000000,3000.000000,2294.732666,500000
2009-07-29,3000.000000,3000.000000,3000.000000,3000.000000,2294.732666,500000
2009-07-30,3000.000000,3000.000000,3000.000000,3000.000000,2294.732666,500000
2009-07-31,3000.000000,3000.000000,3000.000000,3000.000000,2294.732666,500000
2009-08-03,2975.000000,2975.000000,2975.000000,2975.000000,2275.609619,500
2009-08-04,3000.000000,3000.000000,3000.000000,3000.000000,2294.732666,5000
2009-08-05,2900.000000,2900.000000,2900.000000,2900.000000,2218.241699,5000
2009-08-06,2800.000000,2800.000000,2800.000000,2800.000000,2141.750488,1000
2009-08-07,2800.000000,2800.000000,2800.000000,2800.000000,2141.750488,1000
2009-08-10,2800.000000,2800.000000,2800.000000,2800.000000,2141.750488,1000
2009-08-11,2800.000000,2800.000000,2800.000000,2800.000000,2141.750488,1000
2009-08-12,null,null,null,null,null,null
2009-08-13,2800.000000,2800.000000,2800.000000,2800.000000,2141.750488,1000
2009-08-14,2800.000000,2800.000000,2800.000000,2800.000000,2141.750488,1000
2009-08-18,2800.000000,2800.000000,2800.000000,2800.000000,2141.750488,3000
2009-08-19,2800.000000,2800.000000,2800.000000,2800.000000,2141.750488,3000
2009-08-20,2800.000000,2800.000000,2800.000000,2800.000000,2141.750488,3000
2009-08-21,2800.000000,2800.000000,2800.000000,2800.000000,2141.750488,3000
2009-08-24,2800.000000,2800.000000,2800.000000,2800.000000,2141.750488,3000
2009-08-25,2800.000000,2800.000000,2800.000000,2800.000000,2141.750488,3000
2009-08-26,2800.000000,2800.000000,2800.000000,2800.000000,2141.750488,3000
2009-08-27,2800.000000,2800.000000,2800.000000,2800.000000,2141.750488,3000
2009-08-28,2800.000000,2800.000000,2800.000000,2800.000000,2141.750488,3000
2009-08-31,2800.000000,2800.000000,2800.000000,2800.000000,2141.750488,3000
2009-09-01,2750.000000,2750.000000,2550.000000,2750.000000,2103.504883,1000
2009-09-02,2775.000000,2775.000000,2770.000000,2775.000000,2122.627686,17000
2009-09-03,2700.000000,2700.000000,2700.000000,2700.000000,2065.259277,2500
2009-09-04,2700.000000,2700.000000,2700.000000,2700.000000,2065.259277,2500
2009-09-07,2725.000000,2725.000000,2700.000000,2725.000000,2084.382324,82500
2009-09-08,2825.000000,2825.000000,2725.000000,2825.000000,2160.873291,135000
2009-09-09,2825.000000,2825.000000,2775.000000,2825.000000,2160.873291,83500
2009-09-10,2900.000000,2900.000000,2825.000000,2900.000000,2218.241699,207000
2009-09-11,2900.000000,2900.000000,2900.000000,2900.000000,2218.241699,68000
2009-09-14,2850.000000,2875.000000,2850.000000,2850.000000,2179.996338,40000
2009-09-15,2850.000000,2850.000000,2850.000000,2850.000000,2179.996338,40000
2009-09-16,2850.000000,2850.000000,2850.000000,2850.000000,2179.996338,40000
2009-09-17,2850.000000,2850.000000,2850.000000,2850.000000,2179.996338,10000
2009-09-24,2850.000000,2850.000000,2850.000000,2850.000000,2179.996338,10000
2009-09-25,2850.000000,2850.000000,2850.000000,2850.000000,2179.996338,11500
2009-09-28,2825.000000,2825.000000,2825.000000,2825.000000,2160.873291,85000
2009-09-29,2850.000000,2850.000000,2825.000000,2850.000000,2179.996338,96500
2009-09-30,2900.000000,2900.000000,2850.000000,2900.000000,2218.241699,105000
2009-10-01,2900.000000,2925.000000,2900.000000,2900.000000,2218.241699,102500
2009-10-02,2875.000000,2875.000000,2850.000000,2875.000000,2199.118896,101500
2009-10-05,2850.000000,2875.000000,2850.000000,2850.000000,2179.996338,86500
2009-10-06,2875.000000,2875.000000,2850.000000,2875.000000,2199.118896,60000
2009-10-07,2850.000000,2875.000000,2850.000000,2850.000000,2179.996338,77500
2009-10-08,2825.000000,2850.000000,2800.000000,2825.000000,2160.873291,84000
2009-10-09,2800.000000,2825.000000,2800.000000,2800.000000,2141.750488,91500
2009-10-12,2775.000000,2800.000000,2775.000000,2775.000000,2122.627686,93000
2009-10-13,2825.000000,2825.000000,2800.000000,2825.000000,2160.873291,94500
2009-10-14,2850.000000,2850.000000,2825.000000,2850.000000,2179.996338,103500
2009-10-15,2850.000000,2875.000000,2850.000000,2850.000000,2179.996338,114000
2009-10-16,2825.000000,2850.000000,2825.000000,2825.000000,2160.873291,96500
2009-10-19,2800.000000,2825.000000,2800.000000,2800.000000,2141.750488,64000
2009-10-20,2775.000000,2825.000000,2775.000000,2775.000000,2122.627686,91000
2009-10-21,2750.000000,2825.000000,2750.000000,2750.000000,2103.504883,82500
2009-10-22,2725.000000,2750.000000,2725.000000,2725.000000,2084.382324,53500
2009-10-23,2800.000000,2800.000000,2750.000000,2800.000000,2141.750488,71000
2009-10-26,2800.000000,2800.000000,2775.000000,2800.000000,2141.750488,89000
2009-10-27,2775.000000,2775.000000,2775.000000,2775.000000,2122.627686,67500
2009-10-28,2725.000000,2750.000000,2700.000000,2725.000000,2084.382324,69000
2009-10-29,2675.000000,2700.000000,2675.000000,2675.000000,2046.136963,56500
2009-10-30,2725.000000,2725.000000,2700.000000,2725.000000,2084.382324,72500
2009-11-02,2725.000000,2725.000000,2700.000000,2725.000000,2084.382324,77500
2009-11-03,2725.000000,2750.000000,2725.000000,2725.000000,2084.382324,85000
2009-11-04,2775.000000,2775.000000,2750.000000,2775.000000,2122.627686,93500
2009-11-05,2725.000000,2775.000000,2725.000000,2725.000000,2084.382324,84000
2009-11-06,2750.000000,2750.000000,2725.000000,2750.000000,2103.504883,73500
2009-11-09,2750.000000,2750.000000,2725.000000,2750.000000,2103.504883,90000
2009-11-10,2725.000000,2750.000000,2725.000000,2725.000000,2084.382324,89500
2009-11-11,2775.000000,2775.000000,2725.000000,2775.000000,2122.627686,71000
2009-11-12,2800.000000,2800.000000,2775.000000,2800.000000,2141.750488,105500
2009-11-13,2775.000000,2775.000000,2775.000000,2775.000000,2122.627686,30000
2009-11-16,2800.000000,2800.000000,2775.000000,2800.000000,2141.750488,80000
2009-11-17,2800.000000,2825.000000,2800.000000,2800.000000,2141.750488,82500
2009-11-18,2800.000000,2825.000000,2800.000000,2800.000000,2141.750488,87000
2009-11-19,2775.000000,2775.000000,2775.000000,2775.000000,2122.627686,74500
2009-11-20,2800.000000,2800.000000,2775.000000,2800.000000,2141.750488,66000
2009-11-23,2800.000000,2800.000000,2775.000000,2800.000000,2141.750488,102500
2009-11-24,2775.000000,2800.000000,2775.000000,2775.000000,2122.627686,73500
2009-11-25,2750.000000,2775.000000,2750.000000,2750.000000,2103.504883,108500
2009-11-26,2700.000000,2725.000000,2700.000000,2700.000000,2065.259277,88000
2009-11-30,2700.000000,2700.000000,2700.000000,2700.000000,2065.259277,63500
2009-12-01,2725.000000,2725.000000,2700.000000,2725.000000,2084.382324,88500
2009-12-02,null,null,null,null,null,null
2009-12-03,2725.000000,2725.000000,2725.000000,2725.000000,2084.382324,93500
2009-12-04,null,null,null,null,null,null
2009-12-07,2750.000000,2750.000000,2725.000000,2750.000000,2103.504883,92500
2009-12-08,null,null,null,null,null,null
2009-12-09,2700.000000,2725.000000,2700.000000,2700.000000,2065.259277,73500
2009-12-10,2725.000000,2725.000000,2700.000000,2725.000000,2084.382324,83000
2009-12-11,2750.000000,2750.000000,2725.000000,2750.000000,2103.504883,96500
2009-12-14,2725.000000,2750.000000,2725.000000,2725.000000,2084.382324,94000
2009-12-15,2700.000000,2725.000000,2700.000000,2700.000000,2065.259277,96500
2009-12-16,2750.000000,2750.000000,2725.000000,2750.000000,2103.504883,104500
2009-12-17,2750.000000,2750.000000,2750.000000,2750.000000,2103.504883,83500
2009-12-21,2700.000000,2725.000000,2700.000000,2700.000000,2065.259277,906500
2009-12-22,2700.000000,2700.000000,2700.000000,2700.000000,2065.259277,793000
2009-12-23,2700.000000,2700.000000,2700.000000,2700.000000,2065.259277,786000
2009-12-28,null,null,null,null,null,null
2009-12-29,2750.000000,2775.000000,2725.000000,2750.000000,2103.504883,77000
2009-12-30,2750.000000,2750.000000,2750.000000,2750.000000,2103.504883,100500
2010-01-04,2750.000000,2750.000000,2750.000000,2750.000000,2103.504883,100500
2010-01-05,2750.000000,2750.000000,2750.000000,2750.000000,2103.504883,100500
2010-01-06,2750.000000,2750.000000,2750.000000,2750.000000,2103.504883,100500
2010-01-07,2750.000000,2750.000000,2750.000000,2750.000000,2103.504883,100500
2010-01-08,2750.000000,2750.000000,2750.000000,2750.000000,2103.504883,100500
2010-01-11,2750.000000,2750.000000,2750.000000,2750.000000,2103.504883,100500
2010-01-12,2750.000000,2750.000000,2750.000000,2750.000000,2103.504883,100500
2010-01-13,2750.000000,2750.000000,2750.000000,2750.000000,2103.504883,100500
2010-01-14,2750.000000,2750.000000,2750.000000,2750.000000,2103.504883,100500
2010-01-15,2750.000000,2750.000000,2750.000000,2750.000000,2103.504883,100500
2010-01-18,null,null,null,null,null,null
2010-01-19,2750.000000,2750.000000,2750.000000,2750.000000,2103.504883,100500
2010-01-20,2750.000000,2750.000000,2750.000000,2750.000000,2103.504883,100500
2010-01-21,2750.000000,2750.000000,2750.000000,2750.000000,2103.504883,100500
2010-01-22,2750.000000,2750.000000,2750.000000,2750.000000,2103.504883,100500
2010-01-25,2750.000000,2750.000000,2750.000000,2750.000000,2103.504883,100500
2010-01-26,null,null,null,null,null,null
2010-01-27,2750.000000,2750.000000,2750.000000,2750.000000,2103.504883,100500
2010-01-28,2750.000000,2750.000000,2750.000000,2750.000000,2103.504883,100500
2010-01-29,2750.000000,2750.000000,2750.000000,2750.000000,2103.504883,100500
2010-02-01,2750.000000,2750.000000,2750.000000,2750.000000,2103.504883,100500
2010-02-02,2750.000000,2750.000000,2750.000000,2750.000000,2103.504883,100500
2010-02-03,2750.000000,2750.000000,2750.000000,2750.000000,2103.504883,100500
2010-02-04,2750.000000,2750.000000,2750.000000,2750.000000,2103.504883,100500
2010-02-05,2750.000000,2750.000000,2750.000000,2750.000000,2103.504883,100500
2010-02-08,2750.000000,2750.000000,2750.000000,2750.000000,2103.504883,100500
2010-02-09,2750.000000,2750.000000,2750.000000,2750.000000,2103.504883,100500
2010-02-10,2750.000000,2750.000000,2750.000000,2750.000000,2103.504883,100500
2010-02-11,2750.000000,2750.000000,2750.000000,2750.000000,2103.504883,100500
2010-02-12,2750.000000,2750.000000,2750.000000,2750.000000,2103.504883,100500
2010-02-15,2750.000000,2750.000000,2750.000000,2750.000000,2103.504883,100500
2010-02-16,2750.000000,2750.000000,2750.000000,2750.000000,2103.504883,100500
2010-02-17,2750.000000,2750.000000,2750.000000,2750.000000,2103.504883,100500
2010-02-18,2750.000000,2750.000000,2750.000000,2750.000000,2103.504883,100500
