Date,Open,High,Low,Close,Adj Close,Volume
2018-07-12,254.000000,254.000000,230.000000,254.000000,254.000000,25885000
2018-07-13,290.000000,314.000000,216.000000,222.000000,222.000000,120484100
2018-07-16,222.000000,254.000000,195.000000,236.000000,236.000000,221070400
2018-07-17,238.000000,260.000000,236.000000,254.000000,254.000000,229216200
2018-07-18,254.000000,316.000000,254.000000,292.000000,292.000000,110558200
2018-07-19,298.000000,326.000000,294.000000,316.000000,316.000000,90299200
2018-07-20,320.000000,334.000000,288.000000,296.000000,296.000000,72237100
2018-07-23,298.000000,298.000000,266.000000,266.000000,266.000000,87457700
2018-07-24,266.000000,290.000000,266.000000,286.000000,286.000000,88056200
2018-07-25,286.000000,300.000000,280.000000,282.000000,282.000000,65851200
2018-07-26,284.000000,352.000000,276.000000,352.000000,352.000000,105226600
2018-07-27,354.000000,362.000000,290.000000,290.000000,290.000000,200257600
2018-07-30,290.000000,326.000000,270.000000,302.000000,302.000000,62955600
2018-07-31,308.000000,366.000000,302.000000,358.000000,358.000000,63427700
2018-08-01,360.000000,434.000000,286.000000,290.000000,290.000000,51864300
2018-08-02,294.000000,328.000000,248.000000,254.000000,254.000000,121098700
2018-08-03,258.000000,264.000000,198.000000,200.000000,200.000000,63235400
2018-08-06,206.000000,206.000000,191.000000,193.000000,193.000000,59441800
2018-08-07,195.000000,218.000000,185.000000,193.000000,193.000000,45801900
2018-08-08,193.000000,202.000000,185.000000,187.000000,187.000000,3493900
2018-08-09,187.000000,197.000000,177.000000,185.000000,185.000000,18593600
2018-08-10,185.000000,196.000000,183.000000,186.000000,186.000000,4699700
2018-08-13,192.000000,194.000000,184.000000,185.000000,185.000000,22298600
2018-08-14,185.000000,210.000000,176.000000,204.000000,204.000000,15704000
2018-08-15,199.000000,210.000000,194.000000,202.000000,202.000000,4785600
2018-08-16,200.000000,204.000000,196.000000,196.000000,196.000000,842600
2018-08-17,196.000000,196.000000,196.000000,196.000000,196.000000,0
2018-08-20,199.000000,202.000000,195.000000,195.000000,195.000000,3151900
2018-08-21,195.000000,202.000000,193.000000,200.000000,200.000000,3359000
2018-08-22,200.000000,200.000000,200.000000,200.000000,200.000000,0
2018-08-23,200.000000,210.000000,195.000000,202.000000,202.000000,3145200
2018-08-24,200.000000,206.000000,199.000000,199.000000,199.000000,1616700
2018-08-27,199.000000,202.000000,196.000000,197.000000,197.000000,1241900
2018-08-28,197.000000,206.000000,197.000000,199.000000,199.000000,1111200
2018-08-29,199.000000,220.000000,197.000000,199.000000,199.000000,6191500
2018-08-30,200.000000,214.000000,200.000000,202.000000,202.000000,2651100
2018-08-31,202.000000,212.000000,198.000000,208.000000,208.000000,1980000
2018-09-03,208.000000,226.000000,204.000000,210.000000,210.000000,3669600
2018-09-04,212.000000,222.000000,208.000000,218.000000,218.000000,18122000
2018-09-05,218.000000,222.000000,200.000000,204.000000,204.000000,3750600
2018-09-06,202.000000,224.000000,202.000000,218.000000,218.000000,6033100
2018-09-07,220.000000,230.000000,216.000000,220.000000,220.000000,2447200
2018-09-10,222.000000,256.000000,218.000000,252.000000,252.000000,8494700
2018-09-11,252.000000,252.000000,252.000000,252.000000,252.000000,0
2018-09-12,254.000000,292.000000,236.000000,266.000000,266.000000,23844700
2018-09-13,270.000000,302.000000,266.000000,288.000000,288.000000,19040900
2018-09-14,294.000000,342.000000,276.000000,334.000000,334.000000,31970200
2018-09-17,334.000000,346.000000,252.000000,252.000000,252.000000,30199100
2018-09-18,240.000000,252.000000,189.000000,189.000000,189.000000,110605400
2018-09-19,190.000000,200.000000,177.000000,187.000000,187.000000,22234200
2018-09-20,187.000000,194.000000,173.000000,174.000000,174.000000,33554300
2018-09-21,176.000000,178.000000,170.000000,171.000000,171.000000,8536000
2018-09-24,172.000000,189.000000,172.000000,182.000000,182.000000,52768700
2018-09-25,185.000000,194.000000,167.000000,171.000000,171.000000,72384100
2018-09-26,171.000000,173.000000,154.000000,154.000000,154.000000,27368800
2018-09-27,155.000000,161.000000,143.000000,149.000000,149.000000,19928800
2018-09-28,151.000000,156.000000,147.000000,155.000000,155.000000,27013100
2018-10-01,156.000000,158.000000,148.000000,151.000000,151.000000,16739300
2018-10-02,151.000000,152.000000,144.000000,145.000000,145.000000,8475100
2018-10-03,148.000000,151.000000,145.000000,147.000000,147.000000,18438000
2018-10-04,146.000000,149.000000,135.000000,141.000000,141.000000,7376400
2018-10-05,140.000000,145.000000,134.000000,134.000000,134.000000,6599600
2018-10-08,134.000000,139.000000,128.000000,129.000000,129.000000,5278800
2018-10-09,130.000000,143.000000,126.000000,130.000000,130.000000,7292400
2018-10-10,131.000000,149.000000,130.000000,145.000000,145.000000,18615700
2018-10-11,146.000000,147.000000,135.000000,137.000000,137.000000,6718900
2018-10-12,139.000000,147.000000,136.000000,138.000000,138.000000,4209200
2018-10-15,138.000000,146.000000,134.000000,135.000000,135.000000,4185700
2018-10-16,135.000000,145.000000,135.000000,140.000000,140.000000,6586400
2018-10-17,141.000000,147.000000,138.000000,144.000000,144.000000,5025800
2018-10-18,143.000000,145.000000,137.000000,140.000000,140.000000,2189100
2018-10-19,138.000000,141.000000,135.000000,137.000000,137.000000,2577500
2018-10-22,139.000000,139.000000,135.000000,137.000000,137.000000,4200600
2018-10-23,137.000000,143.000000,135.000000,137.000000,137.000000,4434700
2018-10-24,137.000000,140.000000,133.000000,134.000000,134.000000,3151200
2018-10-25,134.000000,142.000000,131.000000,141.000000,141.000000,7593200
2018-10-26,142.000000,145.000000,136.000000,138.000000,138.000000,2457400
2018-10-29,139.000000,145.000000,138.000000,141.000000,141.000000,20361500
2018-10-30,142.000000,142.000000,136.000000,136.000000,136.000000,1812700
2018-10-31,136.000000,139.000000,134.000000,135.000000,135.000000,3717100
2018-11-01,135.000000,140.000000,134.000000,138.000000,138.000000,3636500
2018-11-02,141.000000,145.000000,137.000000,140.000000,140.000000,4861400
2018-11-05,140.000000,171.000000,138.000000,164.000000,164.000000,58222200
2018-11-06,165.000000,168.000000,162.000000,162.000000,162.000000,22461500
2018-11-07,162.000000,218.000000,153.000000,218.000000,218.000000,96306100
2018-11-08,220.000000,242.000000,195.000000,210.000000,210.000000,33275000
2018-11-09,212.000000,236.000000,202.000000,212.000000,212.000000,34976100
2018-11-12,210.000000,224.000000,204.000000,210.000000,210.000000,14681500
2018-11-13,210.000000,230.000000,202.000000,218.000000,218.000000,9039500
2018-11-14,218.000000,242.000000,212.000000,222.000000,222.000000,21956000
2018-11-15,222.000000,270.000000,218.000000,254.000000,254.000000,31486000
2018-11-16,256.000000,308.000000,256.000000,294.000000,294.000000,38929600
2018-11-19,294.000000,312.000000,284.000000,290.000000,290.000000,11366600
2018-11-20,290.000000,290.000000,290.000000,290.000000,290.000000,0
2018-11-21,290.000000,318.000000,284.000000,308.000000,308.000000,18528000
2018-11-22,308.000000,314.000000,288.000000,294.000000,294.000000,3759700
2018-11-23,294.000000,296.000000,256.000000,256.000000,256.000000,5494800
2018-11-26,258.000000,284.000000,240.000000,272.000000,272.000000,9935400
2018-11-27,272.000000,310.000000,270.000000,304.000000,304.000000,14096700
2018-11-28,306.000000,380.000000,304.000000,380.000000,380.000000,32098900
2018-11-29,386.000000,474.000000,370.000000,454.000000,454.000000,77624200
2018-11-30,466.000000,565.000000,400.000000,540.000000,540.000000,59843900
2018-12-03,555.000000,645.000000,488.000000,496.000000,496.000000,73542400
2018-12-04,496.000000,545.000000,450.000000,496.000000,496.000000,54274000
2018-12-05,492.000000,525.000000,372.000000,372.000000,372.000000,197790400
2018-12-06,372.000000,456.000000,280.000000,280.000000,280.000000,296896500
2018-12-07,274.000000,350.000000,210.000000,210.000000,210.000000,243253800
2018-12-10,210.000000,210.000000,158.000000,158.000000,158.000000,120045500
2018-12-11,150.000000,166.000000,120.000000,136.000000,136.000000,188336600
2018-12-12,141.000000,146.000000,131.000000,134.000000,134.000000,40496700
2018-12-13,136.000000,143.000000,129.000000,129.000000,129.000000,89475600
2018-12-14,129.000000,131.000000,126.000000,126.000000,126.000000,27119900
2018-12-17,130.000000,130.000000,119.000000,120.000000,120.000000,70170400
2018-12-18,120.000000,121.000000,114.000000,115.000000,115.000000,20038000
2018-12-19,115.000000,124.000000,112.000000,112.000000,112.000000,50375900
2018-12-20,113.000000,115.000000,109.000000,109.000000,109.000000,16878800
2018-12-21,111.000000,118.000000,106.000000,108.000000,108.000000,84990900
2018-12-24,108.000000,108.000000,108.000000,108.000000,108.000000,0
2018-12-25,108.000000,108.000000,108.000000,108.000000,108.000000,0
2018-12-26,106.000000,110.000000,105.000000,106.000000,106.000000,9011400
2018-12-27,106.000000,114.000000,103.000000,104.000000,104.000000,43020900
2018-12-28,104.000000,105.000000,100.000000,101.000000,101.000000,23888100
2018-12-31,101.000000,101.000000,101.000000,101.000000,101.000000,0
2019-01-01,101.000000,101.000000,101.000000,101.000000,101.000000,0
2019-01-02,101.000000,123.000000,100.000000,122.000000,122.000000,147316000
2019-01-03,123.000000,128.000000,108.000000,109.000000,109.000000,105706100
2019-01-04,110.000000,110.000000,104.000000,107.000000,107.000000,82962200
2019-01-07,107.000000,113.000000,106.000000,109.000000,109.000000,33123800
2019-01-08,111.000000,112.000000,107.000000,108.000000,108.000000,25013800
2019-01-09,108.000000,112.000000,106.000000,107.000000,107.000000,20748300
2019-01-10,107.000000,108.000000,104.000000,106.000000,106.000000,19093200
2019-01-11,108.000000,108.000000,105.000000,106.000000,106.000000,7654500
2019-01-14,106.000000,108.000000,104.000000,104.000000,104.000000,9854900
2019-01-15,104.000000,106.000000,103.000000,103.000000,103.000000,10781200
2019-01-16,104.000000,107.000000,103.000000,105.000000,105.000000,9437900
2019-01-17,105.000000,115.000000,105.000000,112.000000,112.000000,62290800
2019-01-18,114.000000,118.000000,109.000000,113.000000,113.000000,54554200
2019-01-21,114.000000,115.000000,107.000000,107.000000,107.000000,25353600
2019-01-22,108.000000,108.000000,104.000000,107.000000,107.000000,10912300
2019-01-23,107.000000,111.000000,105.000000,109.000000,109.000000,21794800
2019-01-24,110.000000,112.000000,107.000000,108.000000,108.000000,21857700
2019-01-25,110.000000,110.000000,106.000000,106.000000,106.000000,16181600
2019-01-28,106.000000,109.000000,106.000000,106.000000,106.000000,19945000
2019-01-29,106.000000,108.000000,104.000000,106.000000,106.000000,16141800
2019-01-30,106.000000,107.000000,104.000000,105.000000,105.000000,7106200
2019-01-31,105.000000,107.000000,101.000000,102.000000,102.000000,66318200
2019-02-01,102.000000,104.000000,101.000000,101.000000,101.000000,12221500
2019-02-04,102.000000,103.000000,100.000000,101.000000,101.000000,11924700
2019-02-05,101.000000,101.000000,101.000000,101.000000,101.000000,0
2019-02-06,103.000000,107.000000,100.000000,105.000000,105.000000,18094200
2019-02-07,105.000000,112.000000,101.000000,102.000000,102.000000,77427100
2019-02-08,104.000000,104.000000,101.000000,101.000000,101.000000,13186000
2019-02-11,101.000000,106.000000,101.000000,101.000000,101.000000,44700700
2019-02-12,103.000000,103.000000,100.000000,100.000000,100.000000,13363300
2019-02-13,100.000000,102.000000,98.000000,99.000000,99.000000,16366500
2019-02-14,100.000000,105.000000,98.000000,101.000000,101.000000,53630700
2019-02-15,102.000000,102.000000,99.000000,100.000000,100.000000,10162500
2019-02-18,99.000000,101.000000,99.000000,99.000000,99.000000,7840600
2019-02-19,99.000000,100.000000,98.000000,99.000000,99.000000,7289900
2019-02-20,99.000000,100.000000,98.000000,99.000000,99.000000,7146200
2019-02-21,99.000000,99.000000,98.000000,98.000000,98.000000,10445400
2019-02-22,98.000000,99.000000,96.000000,96.000000,96.000000,10253000
2019-02-25,96.000000,97.000000,94.000000,95.000000,95.000000,10576500
2019-02-26,95.000000,96.000000,93.000000,94.000000,94.000000,6377500
2019-02-27,94.000000,96.000000,92.000000,94.000000,94.000000,5575900
2019-02-28,89.000000,98.000000,89.000000,96.000000,96.000000,16859800
2019-03-01,96.000000,98.000000,93.000000,94.000000,94.000000,6960800
2019-03-04,96.000000,104.000000,93.000000,101.000000,101.000000,262543200
2019-03-05,102.000000,103.000000,96.000000,97.000000,97.000000,23105100
2019-03-06,97.000000,101.000000,96.000000,97.000000,97.000000,174851600
2019-03-07,97.000000,97.000000,97.000000,97.000000,97.000000,0
2019-03-08,97.000000,103.000000,96.000000,101.000000,101.000000,1696408900
2019-03-11,101.000000,107.000000,98.000000,101.000000,101.000000,1435090700
2019-03-12,100.000000,102.000000,97.000000,97.000000,97.000000,128018100
2019-03-13,97.000000,98.000000,91.000000,93.000000,93.000000,1127781300
2019-03-14,96.000000,97.000000,93.000000,96.000000,96.000000,1173883700
2019-03-15,96.000000,97.000000,94.000000,94.000000,94.000000,717815800
2019-03-18,99.000000,101.000000,97.000000,98.000000,98.000000,994887100
2019-03-19,99.000000,102.000000,96.000000,99.000000,99.000000,1409057800
2019-03-20,100.000000,135.000000,98.000000,102.000000,102.000000,1513228100
2019-03-21,102.000000,130.000000,99.000000,100.000000,100.000000,1227305400
2019-03-22,103.000000,128.000000,95.000000,96.000000,96.000000,3007688600
2019-03-25,97.000000,99.000000,93.000000,94.000000,94.000000,1739512000
2019-03-26,94.000000,94.000000,86.000000,86.000000,86.000000,481232400
2019-03-27,88.000000,93.000000,82.000000,89.000000,89.000000,785077700
2019-03-28,90.000000,91.000000,85.000000,85.000000,85.000000,1042032100
2019-03-29,84.000000,87.000000,82.000000,83.000000,83.000000,572600000
2019-04-01,83.000000,85.000000,80.000000,81.000000,81.000000,490037000
2019-04-02,83.000000,83.000000,80.000000,81.000000,81.000000,1096270300
2019-04-03,81.000000,81.000000,81.000000,81.000000,81.000000,0
2019-04-04,82.000000,82.000000,79.000000,80.000000,80.000000,655207200
2019-04-05,78.000000,80.000000,76.000000,78.000000,78.000000,703147500
2019-04-08,76.000000,82.000000,75.000000,80.000000,80.000000,1795553800
2019-04-09,78.000000,82.000000,78.000000,79.000000,79.000000,729718300
2019-04-10,77.000000,81.000000,77.000000,78.000000,78.000000,768107200
2019-04-11,78.000000,79.000000,77.000000,78.000000,78.000000,1345340000
2019-04-12,75.000000,78.000000,75.000000,77.000000,77.000000,994402000
2019-04-15,75.000000,85.000000,75.000000,79.000000,79.000000,504014400
2019-04-16,78.000000,83.000000,76.000000,77.000000,77.000000,1216815700
