Date,Open,High,Low,Close,Adj Close,Volume
2003-04-23,9.285710,9.857140,9.285710,9.857140,2.303283,5250000
2003-04-24,null,null,null,null,null,null
2003-04-25,null,null,null,null,null,null
2003-04-28,9.571430,9.714290,9.428570,9.571430,2.236522,1050000
2003-04-29,9.000000,9.428570,8.714290,9.428570,2.203140,2800000
2003-04-30,9.285710,9.428570,9.000000,9.428570,2.203140,1225000
2003-05-01,null,null,null,null,null,null
2003-05-02,9.142860,9.428570,8.714290,9.428570,2.203140,2800000
2003-05-05,9.142860,9.428570,8.571430,9.285710,2.169759,4112500
2003-05-06,9.428570,9.428570,8.857140,8.857140,2.069616,0
2003-05-07,null,null,null,null,null,null
2003-05-08,null,null,null,null,null,null
2003-05-09,null,null,null,null,null,null
2003-05-12,null,null,null,null,null,null
2003-05-13,null,null,null,null,null,null
2003-05-14,null,null,null,null,null,null
2003-05-15,null,null,null,null,null,null
2003-05-16,null,null,null,null,null,null
2003-05-19,null,null,null,null,null,null
2003-05-20,null,null,null,null,null,null
2003-05-21,null,null,null,null,null,null
2003-05-22,null,null,null,null,null,null
2003-05-23,null,null,null,null,null,null
2003-05-26,null,null,null,null,null,null
2003-05-27,null,null,null,null,null,null
2003-05-28,null,null,null,null,null,null
2003-05-29,null,null,null,null,null,null
2003-05-30,null,null,null,null,null,null
2003-06-02,null,null,null,null,null,null
2003-06-03,null,null,null,null,null,null
2003-06-04,null,null,null,null,null,null
2003-06-05,null,null,null,null,null,null
2003-06-06,null,null,null,null,null,null
2003-06-09,null,null,null,null,null,null
2003-06-10,null,null,null,null,null,null
2003-06-11,null,null,null,null,null,null
2003-06-12,null,null,null,null,null,null
2003-06-13,null,null,null,null,null,null
2003-06-16,null,null,null,null,null,null
2003-06-17,null,null,null,null,null,null
2003-06-18,null,null,null,null,null,null
2003-06-19,null,null,null,null,null,null
2003-06-20,null,null,null,null,null,null
2003-06-23,null,null,null,null,null,null
2003-06-24,null,null,null,null,null,null
2003-06-25,null,null,null,null,null,null
2003-06-26,null,null,null,null,null,null
2003-06-27,null,null,null,null,null,null
2003-06-30,null,null,null,null,null,null
2003-07-01,null,null,null,null,null,null
2003-07-02,null,null,null,null,null,null
2003-07-03,null,null,null,null,null,null
2003-07-04,null,null,null,null,null,null
2003-07-07,null,null,null,null,null,null
2003-07-08,null,null,null,null,null,null
2003-07-09,null,null,null,null,null,null
2003-07-10,null,null,null,null,null,null
2003-07-11,null,null,null,null,null,null
2003-07-14,null,null,null,null,null,null
2003-07-15,null,null,null,null,null,null
2003-07-16,null,null,null,null,null,null
2003-07-17,null,null,null,null,null,null
2003-07-18,null,null,null,null,null,null
2003-07-21,null,null,null,null,null,null
2003-07-22,null,null,null,null,null,null
2003-07-23,null,null,null,null,null,null
2003-07-24,null,null,null,null,null,null
2003-07-25,null,null,null,null,null,null
2003-07-28,null,null,null,null,null,null
2003-07-29,null,null,null,null,null,null
2003-07-30,null,null,null,null,null,null
2003-07-31,null,null,null,null,null,null
2003-08-01,null,null,null,null,null,null
2003-08-04,null,null,null,null,null,null
2003-08-05,null,null,null,null,null,null
2003-08-06,null,null,null,null,null,null
2003-08-07,null,null,null,null,null,null
2003-08-08,null,null,null,null,null,null
2003-08-11,null,null,null,null,null,null
2003-08-12,null,null,null,null,null,null
2003-08-13,null,null,null,null,null,null
2003-08-14,null,null,null,null,null,null
2003-08-15,null,null,null,null,null,null
2003-08-18,null,null,null,null,null,null
2003-08-19,null,null,null,null,null,null
2003-08-20,null,null,null,null,null,null
2003-08-21,null,null,null,null,null,null
2003-08-22,null,null,null,null,null,null
2003-08-25,null,null,null,null,null,null
2003-08-26,null,null,null,null,null,null
2003-08-27,null,null,null,null,null,null
2003-08-28,null,null,null,null,null,null
2003-08-29,null,null,null,null,null,null
2003-09-01,null,null,null,null,null,null
2003-09-02,null,null,null,null,null,null
2003-09-03,null,null,null,null,null,null
2003-09-04,null,null,null,null,null,null
2003-09-05,null,null,null,null,null,null
2003-09-08,null,null,null,null,null,null
2003-09-09,null,null,null,null,null,null
2003-09-10,null,null,null,null,null,null
2003-09-11,null,null,null,null,null,null
2003-09-12,null,null,null,null,null,null
2003-09-15,null,null,null,null,null,null
2003-09-16,null,null,null,null,null,null
2003-09-17,null,null,null,null,null,null
2003-09-18,null,null,null,null,null,null
2003-09-19,null,null,null,null,null,null
2003-09-22,null,null,null,null,null,null
2003-09-23,null,null,null,null,null,null
2003-09-24,null,null,null,null,null,null
2003-09-25,null,null,null,null,null,null
2003-09-26,null,null,null,null,null,null
2003-09-29,null,null,null,null,null,null
2003-09-30,null,null,null,null,null,null
2003-10-01,null,null,null,null,null,null
2003-10-02,null,null,null,null,null,null
2003-10-03,null,null,null,null,null,null
2003-10-06,null,null,null,null,null,null
2003-10-07,null,null,null,null,null,null
2003-10-08,null,null,null,null,null,null
2003-10-09,null,null,null,null,null,null
2003-10-10,null,null,null,null,null,null
2003-10-13,null,null,null,null,null,null
2003-10-14,null,null,null,null,null,null
2003-10-15,null,null,null,null,null,null
2003-10-16,null,null,null,null,null,null
2003-10-17,null,null,null,null,null,null
2003-10-20,null,null,null,null,null,null
2003-10-21,null,null,null,null,null,null
2003-10-22,null,null,null,null,null,null
2003-10-23,null,null,null,null,null,null
2003-10-24,null,null,null,null,null,null
2003-10-27,null,null,null,null,null,null
2003-10-28,null,null,null,null,null,null
