Date,Open,High,Low,Close,Adj Close,Volume
2005-05-10,370.104004,370.104004,370.104004,370.104004,343.390564,0
2005-05-11,null,null,null,null,null,null
2005-05-12,null,null,null,null,null,null
2005-05-13,null,null,null,null,null,null
2005-05-16,null,null,null,null,null,null
2005-05-17,null,null,null,null,null,null
2005-05-18,null,null,null,null,null,null
2005-05-19,null,null,null,null,null,null
2005-05-20,null,null,null,null,null,null
2005-05-23,null,null,null,null,null,null
2005-05-25,null,null,null,null,null,null
2005-05-26,null,null,null,null,null,null
2005-05-27,null,null,null,null,null,null
2005-05-30,null,null,null,null,null,null
2005-05-31,null,null,null,null,null,null
2005-06-01,null,null,null,null,null,null
2005-06-02,null,null,null,null,null,null
2005-06-03,null,null,null,null,null,null
2005-06-06,null,null,null,null,null,null
2005-06-07,null,null,null,null,null,null
2005-06-08,null,null,null,null,null,null
2005-06-09,null,null,null,null,null,null
2005-06-10,null,null,null,null,null,null
2005-06-13,null,null,null,null,null,null
2005-06-14,null,null,null,null,null,null
2005-06-15,null,null,null,null,null,null
2005-06-16,null,null,null,null,null,null
2005-06-17,null,null,null,null,null,null
2005-06-20,null,null,null,null,null,null
2005-06-21,null,null,null,null,null,null
2005-06-22,null,null,null,null,null,null
2005-06-23,null,null,null,null,null,null
2005-06-24,null,null,null,null,null,null
2005-06-27,null,null,null,null,null,null
2005-06-28,null,null,null,null,null,null
2005-06-29,null,null,null,null,null,null
2005-06-30,null,null,null,null,null,null
2005-07-01,null,null,null,null,null,null
2005-07-04,null,null,null,null,null,null
2005-07-05,null,null,null,null,null,null
2005-07-06,null,null,null,null,null,null
2005-07-07,null,null,null,null,null,null
2005-07-08,null,null,null,null,null,null
2005-07-11,null,null,null,null,null,null
2005-07-12,null,null,null,null,null,null
2005-07-13,226.417007,230.770996,217.707993,222.063004,206.034897,37363051
2005-07-14,222.063004,226.417007,222.063004,226.417007,210.074631,25225255
2005-07-15,222.063004,226.417007,217.707993,217.707993,201.994217,6949089
2005-07-18,222.063004,222.063004,217.707993,222.063004,206.034897,3937606
2005-07-19,222.063004,226.417007,217.707993,222.063004,206.034897,9108514
2005-07-20,222.063004,222.063004,217.707993,222.063004,206.034897,918660
2005-07-21,222.063004,222.063004,217.707993,222.063004,206.034897,241148
2005-07-22,222.063004,226.417007,222.063004,226.417007,210.074631,3943922
2005-07-25,226.417007,226.417007,222.063004,222.063004,206.034897,1360765
2005-07-26,217.707993,222.063004,217.707993,217.707993,201.994217,2850717
2005-07-27,217.707993,222.063004,217.707993,217.707993,201.994217,304306
2005-07-28,217.707993,222.063004,217.707993,222.063004,206.034897,631579
2005-07-29,222.063004,222.063004,222.063004,222.063004,206.034897,132057
2005-08-01,217.707993,217.707993,217.707993,217.707993,201.994217,728038
2005-08-02,217.707993,222.063004,217.707993,217.707993,201.994217,259521
2005-08-03,222.063004,222.063004,217.707993,217.707993,201.994217,0
2005-08-04,222.063004,222.063004,217.707993,217.707993,201.994217,0
2005-08-05,217.707993,217.707993,217.707993,217.707993,201.994217,126316
2005-08-08,217.707993,217.707993,217.707993,217.707993,201.994217,287081
2005-08-09,217.707993,217.707993,217.707993,217.707993,201.994217,28708
2005-08-10,222.063004,222.063004,217.707993,222.063004,206.034897,137799
2005-08-11,217.707993,217.707993,217.707993,217.707993,201.994217,56268
2005-08-12,217.707993,217.707993,217.707993,217.707993,201.994217,17225
2005-08-15,217.707993,222.063004,217.707993,217.707993,201.994217,734928
2005-08-16,217.707993,217.707993,217.707993,217.707993,201.994217,318660
2005-08-18,217.707993,217.707993,217.707993,217.707993,201.994217,28708
2005-08-19,217.707993,217.707993,217.707993,217.707993,201.994217,346794
2005-08-22,222.063004,222.063004,222.063004,222.063004,206.034897,635024
2005-08-23,217.707993,217.707993,217.707993,217.707993,201.994217,574162
2005-08-24,217.707993,217.707993,217.707993,217.707993,201.994217,4983156
2005-08-25,217.707993,217.707993,213.354004,213.354004,197.954498,0
2005-08-26,217.707993,217.707993,213.354004,213.354004,197.954498,0
2005-08-29,213.354004,213.354004,213.354004,213.354004,197.954498,155598
2005-08-30,217.707993,217.707993,213.354004,213.354004,197.954498,0
2005-08-31,217.707993,217.707993,217.707993,217.707993,201.994217,1722
2005-09-01,217.707993,217.707993,213.354004,213.354004,197.954498,0
2005-09-05,217.707993,217.707993,213.354004,213.354004,197.954498,0
