Date,Open,High,Low,Close,Adj Close,Volume
2018-11-06,414.000000,414.000000,414.000000,414.000000,414.000000,10800
2018-11-07,515.000000,515.000000,515.000000,515.000000,515.000000,16200
2018-11-08,640.000000,640.000000,640.000000,640.000000,640.000000,446800
2018-11-09,700.000000,800.000000,680.000000,800.000000,800.000000,1286400
2018-11-12,825.000000,1000.000000,825.000000,1000.000000,1000.000000,247300
2018-11-13,1160.000000,1250.000000,1160.000000,1250.000000,1250.000000,88600
2018-11-14,1300.000000,1560.000000,1300.000000,1560.000000,1560.000000,535500
2018-11-15,1560.000000,1560.000000,1560.000000,1560.000000,1560.000000,0
2018-11-16,1800.000000,1950.000000,1800.000000,1950.000000,1950.000000,116900
2018-11-19,2400.000000,2430.000000,1950.000000,1950.000000,1950.000000,2719400
2018-11-20,1950.000000,1950.000000,1950.000000,1950.000000,1950.000000,0
2018-11-21,1940.000000,1950.000000,1465.000000,1465.000000,1465.000000,986000
2018-11-22,1460.000000,1495.000000,1100.000000,1140.000000,1140.000000,4378400
2018-11-23,1140.000000,1420.000000,970.000000,1000.000000,1000.000000,8932400
2018-11-26,1000.000000,1070.000000,855.000000,965.000000,965.000000,1656500
2018-11-27,965.000000,965.000000,725.000000,725.000000,725.000000,2852700
2018-11-28,710.000000,860.000000,710.000000,780.000000,780.000000,1715000
2018-11-29,790.000000,815.000000,660.000000,725.000000,725.000000,780100
2018-11-30,725.000000,830.000000,725.000000,735.000000,735.000000,781900
2018-12-03,755.000000,770.000000,725.000000,730.000000,730.000000,239300
2018-12-04,730.000000,750.000000,700.000000,730.000000,730.000000,186700
2018-12-05,730.000000,740.000000,700.000000,700.000000,700.000000,212300
2018-12-06,700.000000,755.000000,660.000000,660.000000,660.000000,558400
2018-12-07,675.000000,730.000000,630.000000,660.000000,660.000000,700900
2018-12-10,650.000000,700.000000,580.000000,590.000000,590.000000,830300
2018-12-11,590.000000,620.000000,535.000000,540.000000,540.000000,330500
2018-12-12,560.000000,630.000000,540.000000,555.000000,555.000000,2173000
