Date,Open,High,Low,Close,Adj Close,Volume
2000-11-28,496.958008,516.072021,496.958008,516.072021,464.691711,366228
2000-11-29,496.958008,496.958008,496.958008,496.958008,447.480743,546072
2000-11-30,496.958008,516.072021,477.843994,516.072021,464.691711,1326923
2000-12-01,496.958008,496.958008,496.958008,496.958008,447.480743,871754
2000-12-04,516.072021,554.299011,516.072021,535.184998,481.901825,8329731
2000-12-05,535.184998,535.184998,516.072021,516.072021,464.691711,1510691
2000-12-06,535.184998,592.526978,535.184998,573.413025,516.323792,11695106
2000-12-07,554.299011,554.299011,535.184998,535.184998,481.901825,2222221
2000-12-08,535.184998,535.184998,516.072021,535.184998,481.901825,882218
2000-12-11,516.072021,516.072021,477.843994,477.843994,430.269684,7542340
2000-12-12,496.958008,496.958008,458.730011,477.843994,430.269684,9291734
2000-12-13,477.843994,477.843994,458.730011,477.843994,430.269684,5662150
2000-12-14,458.730011,496.958008,458.730011,458.730011,413.058716,10808965
2000-12-15,477.843994,477.843994,458.730011,458.730011,413.058716,825975
2000-12-18,458.730011,458.730011,458.730011,458.730011,413.058716,778235
2000-12-19,458.730011,477.843994,458.730011,458.730011,413.058716,740958
2000-12-20,477.843994,477.843994,458.730011,458.730011,413.058716,3714601
2000-12-21,458.730011,477.843994,458.730011,477.843994,430.269684,879602
2000-12-22,458.730011,477.843994,458.730011,477.843994,430.269684,1273297
2000-12-25,null,null,null,null,null,null
2000-12-26,null,null,null,null,null,null
2000-12-27,null,null,null,null,null,null
2000-12-28,null,null,null,null,null,null
2000-12-29,null,null,null,null,null,null
2001-01-01,null,null,null,null,null,null
2001-01-02,458.730011,458.730011,439.617004,439.617004,395.848633,273363
2001-01-03,439.617004,439.617004,420.502991,420.502991,378.637604,2867698
2001-01-04,439.617004,439.617004,420.502991,420.502991,378.637604,3583805
2001-01-05,439.617004,477.843994,439.617004,458.730011,413.058716,9283232
2001-01-08,458.730011,458.730011,439.617004,439.617004,395.848633,2713359
2001-01-09,439.617004,458.730011,439.617004,458.730011,413.058716,3459549
2001-01-10,458.730011,458.730011,439.617004,458.730011,413.058716,1598979
2001-01-11,439.617004,439.617004,420.502991,420.502991,378.637604,2644691
2001-01-12,420.502991,420.502991,401.389008,401.389008,361.426605,6074811
2001-01-15,420.502991,458.730011,420.502991,439.617004,395.848633,1693806
2001-01-16,439.617004,439.617004,420.502991,420.502991,378.637604,302792
2001-01-17,439.617004,439.617004,420.502991,420.502991,378.637604,3381725
2001-01-18,401.389008,420.502991,401.389008,401.389008,361.426605,3162642
2001-01-19,401.389008,420.502991,382.274994,382.274994,344.215576,9773716
2001-01-22,382.274994,382.274994,363.161011,382.274994,344.215576,4060556
2001-01-23,363.161011,363.161011,344.048004,344.048004,309.794495,2812110
2001-01-24,344.048004,370.807007,344.048004,366.984009,330.447021,2948137
2001-01-25,366.984009,370.807007,355.515991,359.338989,323.563171,1770321
2001-01-26,359.338989,366.984009,351.692993,355.515991,320.120728,2935058
2001-01-29,355.515991,363.161011,351.692993,359.338989,323.563171,2111698
2001-01-30,363.161011,382.274994,363.161011,382.274994,344.215576,10465626
2001-01-31,382.274994,382.274994,363.161011,363.161011,327.004639,1049636
2001-02-01,370.807007,378.453003,363.161011,370.807007,333.889343,8090374
2001-02-02,374.630005,374.630005,328.756989,347.871002,313.236847,28100170
2001-02-05,340.225006,340.225006,305.820007,309.643005,278.814880,20841003
