Date,Open,High,Low,Close,Adj Close,Volume
2003-04-08,27.442101,27.442101,27.442101,27.442101,7057833984.000000,0
2003-04-09,27.442101,27.442101,27.442101,27.442101,7057833984.000000,0
2003-04-10,27.442101,27.442101,21.953699,21.953699,5646272000.000000,0
2003-04-11,27.442101,27.442101,21.953699,21.953699,5646272000.000000,0
2003-04-14,27.442101,27.442101,27.442101,27.442101,7057833984.000000,0
2003-04-15,27.442101,27.442101,22.452600,22.452600,5774585856.000000,0
2003-04-16,27.442101,27.442101,27.442101,27.442101,7057833984.000000,0
2003-04-17,27.442101,27.442101,27.442101,27.442101,7057833984.000000,0
2003-04-18,null,null,null,null,null,null
2003-04-21,27.442101,27.442101,27.442101,27.442101,7057833984.000000,0
2003-04-22,27.442101,27.442101,27.442101,27.442101,7057833984.000000,0
2003-04-23,27.442101,27.442101,27.442101,27.442101,7057833984.000000,0
2003-04-24,27.442101,27.442101,21.953699,21.953699,5646272000.000000,0
2003-04-25,27.442101,27.442101,21.953699,21.953699,5646272000.000000,0
2003-04-28,27.442101,27.442101,27.442101,27.442101,7057833984.000000,0
2003-04-29,null,null,null,null,null,null
2003-04-30,27.442101,27.442101,27.442101,27.442101,7057833984.000000,0
2003-05-01,27.442101,27.442101,21.953699,21.953699,5646272000.000000,0
2003-05-02,27.442101,27.442101,21.953699,21.953699,5646272000.000000,0
2003-05-05,27.442101,27.442101,21.953699,21.953699,5646272000.000000,0
2003-05-06,27.442101,27.442101,21.953699,21.953699,5646272000.000000,0
2003-05-07,27.442101,27.442101,21.953699,21.953699,5646272000.000000,0
2003-05-08,27.442101,27.442101,21.953699,21.953699,5646272000.000000,0
2003-05-09,27.442101,27.442101,21.953699,21.953699,5646272000.000000,0
2003-05-12,27.442101,27.442101,21.953699,21.953699,5646272000.000000,0
2003-05-13,27.442101,27.442101,21.953699,21.953699,5646272000.000000,0
2003-05-14,27.442101,27.442101,21.953699,21.953699,5646272000.000000,0
2003-05-15,27.442101,27.442101,21.953699,21.953699,5646272000.000000,0
2003-05-16,27.442101,27.442101,21.953699,21.953699,5646272000.000000,0
2003-05-19,27.442101,27.442101,21.953699,21.953699,5646272000.000000,0
2003-05-20,27.442101,27.442101,21.953699,21.953699,5646272000.000000,0
2003-05-21,27.442101,27.442101,21.953699,21.953699,5646272000.000000,0
2003-05-22,27.442101,27.442101,21.953699,21.953699,5646272000.000000,0
2003-05-23,27.442101,27.442101,21.953699,21.953699,5646272000.000000,0
2003-05-26,27.442101,27.442101,27.442101,27.442101,7057833984.000000,0
2003-05-27,27.442101,27.442101,27.442101,27.442101,7057833984.000000,0
2003-05-28,27.442101,27.442101,27.442101,27.442101,7057833984.000000,0
2003-05-29,27.442101,27.442101,27.442101,27.442101,7057833984.000000,0
2003-05-30,null,null,null,null,null,null
2003-06-02,null,null,null,null,null,null
2003-06-03,null,null,null,null,null,null
2003-06-04,null,null,null,null,null,null
2003-06-05,null,null,null,null,null,null
2003-06-06,null,null,null,null,null,null
2003-06-09,null,null,null,null,null,null
2003-06-10,27.442101,27.442101,27.442101,27.442101,7057833984.000000,0
2003-06-11,null,null,null,null,null,null
2003-06-12,null,null,null,null,null,null
2003-06-13,null,null,null,null,null,null
2003-06-16,27.442101,27.442101,27.442101,27.442101,7057833984.000000,0
2003-06-17,null,null,null,null,null,null
2003-06-18,27.442101,27.442101,27.442101,27.442101,7057833984.000000,0
2003-06-19,null,null,null,null,null,null
2003-06-20,null,null,null,null,null,null
2003-06-23,null,null,null,null,null,null
2003-06-24,27.442101,27.442101,27.442101,27.442101,7057833984.000000,0
2003-06-25,27.442101,27.442101,24.947399,24.947399,6416222720.000000,0
2003-06-26,27.442101,27.442101,24.947399,24.947399,6416222720.000000,0
2003-06-27,27.442101,27.442101,24.947399,24.947399,6416222720.000000,0
2003-06-30,27.442101,27.442101,27.442101,27.442101,7057833984.000000,0
2003-07-01,27.442101,27.442101,27.442101,27.442101,7057833984.000000,0
2003-07-02,27.442101,27.442101,23.700001,23.700001,-969360064.000000,0
2003-07-03,27.442101,27.442101,23.700001,23.700001,-969360064.000000,0
2003-07-04,27.442101,27.442101,23.700001,23.700001,-969360064.000000,0
2003-07-07,27.442101,27.442101,22.452600,22.452600,-918339584.000000,0
2003-07-08,27.442101,27.442101,27.442101,27.442101,-1122416384.000000,0
2003-07-09,27.442101,27.442101,27.442101,27.442101,-1122416384.000000,0
2003-07-10,27.442101,27.442101,27.442101,27.442101,-1122416384.000000,0
2003-07-11,null,null,null,null,null,null
2003-07-14,null,null,null,null,null,null
2003-07-15,null,null,null,null,null,null
2003-07-16,27.442101,27.442101,22.452600,22.452600,-918339584.000000,0
2003-07-17,27.442101,27.442101,27.442101,27.442101,-1122416384.000000,0
2003-07-18,27.442101,27.442101,27.442101,27.442101,-1122416384.000000,0
2003-07-21,null,null,null,null,null,null
2003-07-22,27.442101,27.442101,27.442101,27.442101,-1122416384.000000,0
2003-07-23,null,null,null,null,null,null
2003-07-24,null,null,null,null,null,null
2003-07-25,null,null,null,null,null,null
2003-07-28,null,null,null,null,null,null
2003-07-29,null,null,null,null,null,null
2003-07-30,null,null,null,null,null,null
2003-07-31,null,null,null,null,null,null
2003-08-01,null,null,null,null,null,null
2003-08-04,null,null,null,null,null,null
2003-08-05,null,null,null,null,null,null
2003-08-06,null,null,null,null,null,null
2003-08-07,null,null,null,null,null,null
2003-08-08,22.452600,22.452600,22.452600,22.452600,-918339584.000000,0
2003-08-11,27.442101,27.442101,27.442101,27.442101,-1122416384.000000,0
2003-08-12,null,null,null,null,null,null
2003-08-13,27.442101,27.442101,27.442101,27.442101,-1122416384.000000,0
2003-08-14,null,null,null,null,null,null
2003-08-15,null,null,null,null,null,null
2003-08-18,null,null,null,null,null,null
2003-08-19,null,null,null,null,null,null
2003-08-20,null,null,null,null,null,null
2003-08-21,null,null,null,null,null,null
2003-08-22,21.953699,21.953699,21.953699,21.953699,-897933888.000000,0
2003-08-25,null,null,null,null,null,null
2003-08-26,24.947399,24.947399,24.947399,24.947399,-1020379840.000000,0
2003-08-27,24.947399,24.947399,24.947399,24.947399,-1020379840.000000,4008440
2003-08-28,24.947399,24.947399,19.957899,19.957899,-816303104.000000,0
2003-08-29,24.947399,24.947399,24.947399,24.947399,-1020379840.000000,0
2003-09-01,24.947399,24.947399,24.947399,24.947399,-1020379840.000000,0
2003-09-02,24.947399,24.947399,22.452600,22.452600,-918339584.000000,0
2003-09-03,22.452600,22.452600,22.452600,22.452600,-918339584.000000,0
2003-09-04,22.452600,22.452600,22.452600,22.452600,-918339584.000000,1002110
2003-09-05,22.452600,22.452600,22.452600,22.452600,-918339584.000000,0
2003-09-08,22.452600,22.452600,19.957899,19.957899,-816303104.000000,0
2003-09-09,22.452600,22.452600,22.452600,22.452600,-918339584.000000,0
2003-09-10,22.452600,22.452600,22.452600,22.452600,-918339584.000000,0
2003-09-11,22.452600,22.452600,22.452600,22.452600,-918339584.000000,0
2003-09-12,22.452600,22.452600,22.452600,22.452600,-918339584.000000,0
2003-09-15,19.957899,19.957899,19.957899,19.957899,-816303104.000000,0
2003-09-16,22.452600,22.452600,22.452600,22.452600,-918339584.000000,1002110
2003-09-17,22.452600,22.452600,19.957899,19.957899,-816303104.000000,0
2003-09-18,22.452600,22.452600,22.452600,22.452600,-918339584.000000,0
2003-09-19,22.452600,22.452600,22.452600,22.452600,-918339584.000000,0
2003-09-22,22.452600,22.452600,22.452600,22.452600,-918339584.000000,0
2003-09-23,22.452600,22.452600,22.452600,22.452600,-918339584.000000,0
2003-09-24,22.452600,22.452600,22.452600,22.452600,-918339584.000000,0
2003-09-25,22.452600,22.452600,22.452600,22.452600,-918339584.000000,0
2003-09-26,22.452600,22.452600,22.452600,22.452600,-918339584.000000,0
2003-09-29,22.452600,22.452600,22.452600,22.452600,-918339584.000000,0
2003-09-30,22.452600,22.452600,22.452600,22.452600,-918339584.000000,0
2003-10-01,22.452600,22.452600,22.452600,22.452600,-918339584.000000,0
2003-10-02,22.452600,22.452600,22.452600,22.452600,-918339584.000000,0
2003-10-03,22.452600,22.452600,22.452600,22.452600,-918339584.000000,0
2003-10-06,22.452600,22.452600,22.452600,22.452600,-918339584.000000,0
2003-10-07,22.452600,22.452600,22.452600,22.452600,-918339584.000000,3707807
2003-10-08,23.949499,23.949499,17.463200,17.463200,-714266816.000000,0
2003-10-09,24.947399,24.947399,24.947399,24.947399,-1020379840.000000,0
2003-10-10,24.448400,24.448400,24.448400,24.448400,-999970176.000000,0
2003-10-13,23.700001,23.700001,23.700001,23.700001,-969360064.000000,0
2003-10-14,23.700001,23.700001,17.463200,17.463200,-714266816.000000,0
2003-10-15,23.700001,23.700001,23.700001,23.700001,-969360064.000000,0
