Date,Open,High,Low,Close,Adj Close,Volume
2004-11-04,4050.000000,4350.000000,4000.000000,4300.000000,4254.692383,1593650
2004-11-05,4350.000000,4350.000000,4200.000000,4250.000000,4205.219727,135000
2004-11-08,4100.000000,4250.000000,4100.000000,4150.000000,4106.272949,146400
2004-11-09,4200.000000,4250.000000,4000.000000,4050.000000,4007.326172,362100
2004-11-10,4100.000000,4150.000000,4050.000000,4050.000000,4007.326172,263950
2004-11-11,4100.000000,4150.000000,4000.000000,4050.000000,4007.326172,338900
2004-11-12,4050.000000,4050.000000,4050.000000,4050.000000,4007.326172,442500
2004-11-15,null,null,null,null,null,null
2004-11-16,null,null,null,null,null,null
2004-11-17,null,null,null,null,null,null
2004-11-18,null,null,null,null,null,null
2004-11-19,null,null,null,null,null,null
2004-11-22,4050.000000,4050.000000,3950.000000,3950.000000,3908.380371,625900
2004-11-23,4000.000000,4000.000000,3900.000000,4000.000000,3957.853516,183700
2004-11-24,4000.000000,4000.000000,3950.000000,3950.000000,3908.380371,144250
2004-11-25,3500.000000,3500.000000,3200.000000,3250.000000,3215.755859,540500
2004-11-26,3300.000000,3600.000000,3300.000000,3450.000000,3413.648438,1086600
2004-11-29,3550.000000,3850.000000,3550.000000,3550.000000,3512.595215,2069550
2004-11-30,3650.000000,3700.000000,3600.000000,3650.000000,3611.541016,802550
2004-12-01,3650.000000,3650.000000,3550.000000,3600.000000,3562.068115,634750
2004-12-02,3650.000000,3650.000000,3600.000000,3600.000000,3562.068115,1056550
2004-12-03,3550.000000,3550.000000,3500.000000,3500.000000,3463.121338,495250
2004-12-06,3550.000000,3550.000000,3400.000000,3400.000000,3364.175293,714950
2004-12-07,3350.000000,3400.000000,3250.000000,3250.000000,3215.755859,1503400
2004-12-08,3300.000000,3650.000000,3250.000000,3450.000000,3413.648438,2553150
2004-12-09,3500.000000,3550.000000,3300.000000,3350.000000,3314.701904,2063600
2004-12-10,3350.000000,3350.000000,3250.000000,3250.000000,3215.755859,2435200
2004-12-13,3250.000000,3300.000000,3150.000000,3250.000000,3215.755859,715450
2004-12-14,3250.000000,3250.000000,3100.000000,3100.000000,3067.336182,345750
2004-12-15,3150.000000,3200.000000,3050.000000,3100.000000,3067.336182,2139900
2004-12-16,3100.000000,3150.000000,3050.000000,3050.000000,3017.863037,1164050
2004-12-17,3100.000000,3300.000000,3100.000000,3250.000000,3215.755859,1824250
2004-12-20,3250.000000,3250.000000,3150.000000,3150.000000,3116.809326,1465250
2004-12-21,3200.000000,3200.000000,3100.000000,3100.000000,3067.336182,3928950
2004-12-22,3100.000000,3150.000000,3000.000000,3050.000000,3017.863037,1963350
2004-12-23,3050.000000,3100.000000,2900.000000,3000.000000,2968.389893,3143550
2004-12-24,null,null,null,null,null,null
2004-12-27,3000.000000,3150.000000,2950.000000,3150.000000,3116.809326,4446500
2004-12-28,3150.000000,3250.000000,3150.000000,3150.000000,3116.809326,4419650
2004-12-29,3200.000000,3200.000000,3050.000000,3100.000000,3067.336182,4626600
2004-12-30,3100.000000,3100.000000,3050.000000,3100.000000,3067.336182,985550
2004-12-31,null,null,null,null,null,null
2005-01-03,3100.000000,3100.000000,3000.000000,3100.000000,3067.336182,208800
2005-01-04,3100.000000,3500.000000,3100.000000,3500.000000,3463.121338,13641800
2005-01-05,3500.000000,3550.000000,3300.000000,3400.000000,3364.175293,13664850
2005-01-06,3400.000000,3450.000000,3350.000000,3400.000000,3364.175293,4555000
2005-01-07,3400.000000,3450.000000,3300.000000,3400.000000,3364.175293,1369550
2005-01-10,3400.000000,3400.000000,3300.000000,3350.000000,3314.701904,2212500
2005-01-11,3300.000000,3300.000000,3250.000000,3250.000000,3215.755859,341950
2005-01-12,3250.000000,3250.000000,3100.000000,3150.000000,3116.809326,3269250
2005-01-13,3150.000000,3300.000000,3150.000000,3300.000000,3265.229248,3427900
2005-01-14,3250.000000,3300.000000,3200.000000,3250.000000,3215.755859,3060100
2005-01-17,3200.000000,3250.000000,3200.000000,3250.000000,3215.755859,1812500
2005-01-18,3200.000000,3250.000000,3200.000000,3250.000000,3215.755859,818400
2005-01-19,3250.000000,3400.000000,3250.000000,3350.000000,3314.701904,6471900
2005-01-20,3350.000000,3350.000000,3300.000000,3350.000000,3314.701904,1457950
2005-01-24,3300.000000,3300.000000,3200.000000,3200.000000,3166.282471,2477750
2005-01-25,3200.000000,3250.000000,3200.000000,3250.000000,3215.755859,341000
2005-01-26,3250.000000,3300.000000,3200.000000,3300.000000,3265.229248,1634200
2005-01-27,3250.000000,3300.000000,3250.000000,3300.000000,3265.229248,570950
2005-01-28,3300.000000,3450.000000,3300.000000,3400.000000,3364.175293,9255650
2005-01-31,3400.000000,3450.000000,3400.000000,3450.000000,3413.648438,2964450
2005-02-01,3450.000000,3450.000000,3350.000000,3400.000000,3364.175293,1063150
2005-02-02,3400.000000,3500.000000,3400.000000,3500.000000,3463.121338,6198250
2005-02-03,3450.000000,3550.000000,3350.000000,3450.000000,3413.648438,3678100
2005-02-04,3450.000000,3500.000000,3400.000000,3450.000000,3413.648438,1250550
2005-02-07,3450.000000,3450.000000,3400.000000,3400.000000,3364.175293,1009150
2005-02-08,3400.000000,3400.000000,3350.000000,3350.000000,3314.701904,121600
2005-02-11,3450.000000,3450.000000,3400.000000,3450.000000,3413.648438,430550
2005-02-14,3450.000000,3500.000000,3400.000000,3500.000000,3463.121338,598150
2005-02-15,3500.000000,3500.000000,3400.000000,3500.000000,3463.121338,2020400
2005-02-16,3450.000000,3750.000000,3450.000000,3750.000000,3710.487549,13568700
2005-02-17,3750.000000,3850.000000,3700.000000,3700.000000,3661.014404,10846650
2005-02-18,3700.000000,3900.000000,3700.000000,3850.000000,3809.433838,7679850
2005-02-21,3850.000000,4100.000000,3850.000000,3950.000000,3908.380371,11121250
2005-02-22,4000.000000,4250.000000,3950.000000,4200.000000,4155.746582,13266550
2005-02-23,4200.000000,4350.000000,4150.000000,4200.000000,4155.746582,10099500
2005-02-24,4250.000000,4250.000000,4100.000000,4150.000000,4106.272949,3184850
2005-02-25,4150.000000,4150.000000,4050.000000,4100.000000,4056.799316,2530700
2005-02-28,4100.000000,4100.000000,4000.000000,4100.000000,4056.799316,1735300
2005-03-01,4100.000000,4250.000000,4100.000000,4200.000000,4155.746582,4013850
2005-03-02,4200.000000,4250.000000,4150.000000,4200.000000,4155.746582,1879200
2005-03-03,4200.000000,4250.000000,4150.000000,4250.000000,4205.219727,2291200
2005-03-04,4250.000000,4250.000000,4150.000000,4200.000000,4155.746582,2499650
2005-03-07,4200.000000,4300.000000,4150.000000,4200.000000,4155.746582,2789200
2005-03-08,4200.000000,4350.000000,4200.000000,4300.000000,4254.692383,8785200
2005-03-09,4300.000000,4350.000000,4250.000000,4300.000000,4254.692383,2791000
2005-03-10,4300.000000,4300.000000,4250.000000,4250.000000,4205.219727,389450
2005-03-14,4250.000000,4400.000000,4250.000000,4250.000000,4205.219727,2317750
2005-03-15,4300.000000,4400.000000,4250.000000,4400.000000,4353.638672,8278500
2005-03-16,4400.000000,4750.000000,4400.000000,4750.000000,4699.950195,18345150
2005-03-17,4800.000000,4950.000000,4750.000000,4800.000000,4749.423828,11811650
2005-03-18,4800.000000,4850.000000,4700.000000,4750.000000,4699.950195,2903250
2005-03-21,4800.000000,4950.000000,4750.000000,4850.000000,4798.897461,8091550
2005-03-22,4850.000000,4900.000000,4750.000000,4850.000000,4798.897461,1687300
2005-03-23,4850.000000,4850.000000,4750.000000,4800.000000,4749.423828,428350
2005-03-24,4750.000000,4800.000000,4650.000000,4700.000000,4650.477539,4192650
2005-03-28,4650.000000,4750.000000,4400.000000,4400.000000,4353.638672,2814850
2005-03-29,4400.000000,4400.000000,4250.000000,4400.000000,4353.638672,2307000
2005-03-30,4400.000000,4550.000000,4350.000000,4400.000000,4353.638672,1107850
2005-03-31,4400.000000,4500.000000,4350.000000,4400.000000,4353.638672,1212700
2005-04-01,4450.000000,4500.000000,4400.000000,4450.000000,4403.111816,421700
2005-04-04,4400.000000,4450.000000,4400.000000,4450.000000,4403.111816,82300
2005-04-05,4400.000000,4450.000000,4350.000000,4400.000000,4353.638672,547850
2005-04-06,4350.000000,4450.000000,4300.000000,4450.000000,4403.111816,499700
2005-04-07,4400.000000,4400.000000,4350.000000,4400.000000,4353.638672,826050
2005-04-08,4350.000000,4400.000000,4350.000000,4400.000000,4353.638672,906450
2005-04-11,4400.000000,4400.000000,4350.000000,4350.000000,4304.165527,202250
2005-04-12,4350.000000,4450.000000,4350.000000,4450.000000,4403.111816,2390300
2005-04-13,4500.000000,4550.000000,4450.000000,4500.000000,4452.585938,1358500
2005-04-14,4450.000000,4450.000000,4400.000000,4450.000000,4403.111816,351200
2005-04-15,4350.000000,4400.000000,4350.000000,4400.000000,4353.638672,19400
2005-04-18,4350.000000,4350.000000,4200.000000,4200.000000,4155.746582,1038750
2005-04-19,4200.000000,4350.000000,4150.000000,4250.000000,4205.219727,181750
2005-04-20,4300.000000,4350.000000,4300.000000,4350.000000,4304.165527,490600
2005-04-21,4250.000000,4300.000000,4150.000000,4200.000000,4155.746582,369200
2005-04-25,4200.000000,4200.000000,4050.000000,4050.000000,4007.326172,844900
2005-04-26,4100.000000,4150.000000,4050.000000,4150.000000,4106.272949,251000
2005-04-27,4150.000000,4250.000000,4150.000000,4200.000000,4155.746582,3138900
2005-04-28,4200.000000,4250.000000,4100.000000,4150.000000,4106.272949,133050
2005-04-29,4100.000000,4100.000000,4050.000000,4100.000000,4056.799316,24750
2005-05-02,4050.000000,4100.000000,4050.000000,4100.000000,4056.799316,50950
2005-05-03,4100.000000,4100.000000,4050.000000,4100.000000,4056.799316,136950
2005-05-04,4050.000000,4150.000000,4050.000000,4150.000000,4106.272949,242850
2005-05-06,4100.000000,4150.000000,4100.000000,4150.000000,4106.272949,201800
2005-05-09,4100.000000,4150.000000,4100.000000,4150.000000,4106.272949,233950
2005-05-10,4100.000000,4150.000000,4050.000000,4100.000000,4056.799316,339500
2005-05-11,4000.000000,4000.000000,4000.000000,4000.000000,3957.853516,251450
2005-05-12,4000.000000,4000.000000,3900.000000,3950.000000,3908.380371,420100
2005-05-13,3900.000000,4000.000000,3900.000000,3950.000000,3908.380371,451800
2005-05-16,3900.000000,3950.000000,3900.000000,3950.000000,3908.380371,324250
2005-05-17,3900.000000,3950.000000,3850.000000,3950.000000,3908.380371,278300
2005-05-18,4000.000000,4000.000000,3900.000000,3900.000000,3858.907227,83500
2005-05-19,4000.000000,4000.000000,3900.000000,4000.000000,3957.853516,25850
2005-05-20,4000.000000,4000.000000,3900.000000,3950.000000,3908.380371,29250
2005-05-23,3950.000000,3950.000000,3850.000000,3950.000000,3908.380371,26750
2005-05-25,3900.000000,3950.000000,3900.000000,3950.000000,3908.380371,2450
2005-05-26,3900.000000,3900.000000,3850.000000,3900.000000,3858.907227,111750
2005-05-27,3850.000000,3900.000000,3850.000000,3900.000000,3858.907227,141000
2005-05-30,3850.000000,3900.000000,3850.000000,3900.000000,3858.907227,69750
2005-05-31,3900.000000,4000.000000,3900.000000,4000.000000,3957.853516,338000
2005-06-01,4000.000000,4000.000000,3950.000000,4000.000000,3957.853516,214250
2005-06-02,3950.000000,4000.000000,3950.000000,4000.000000,3957.853516,159500
2005-06-03,3950.000000,4000.000000,3950.000000,4000.000000,3957.853516,63400
2005-06-06,4000.000000,4050.000000,4000.000000,4050.000000,4007.326172,64500
2005-06-07,4000.000000,4050.000000,4000.000000,4050.000000,4007.326172,89800
2005-06-08,4000.000000,4050.000000,4000.000000,4050.000000,4007.326172,73750
2005-06-09,4000.000000,4000.000000,3950.000000,3950.000000,3908.380371,0
2005-06-10,4000.000000,4000.000000,4000.000000,4000.000000,3957.853516,17250
2005-06-13,4000.000000,4050.000000,4000.000000,4050.000000,4007.326172,92800
2005-06-14,4000.000000,4050.000000,4000.000000,4050.000000,4013.271729,44850
2005-06-15,4000.000000,4100.000000,4000.000000,4100.000000,4062.818359,102050
2005-06-16,4050.000000,4150.000000,4000.000000,4150.000000,4112.365234,107600
2005-06-17,4100.000000,4150.000000,4050.000000,4150.000000,4112.365234,52150
2005-06-20,4100.000000,4150.000000,4100.000000,4150.000000,4112.365234,114050
2005-06-21,4100.000000,4150.000000,4050.000000,4100.000000,4062.818359,148000
2005-06-22,4100.000000,4150.000000,4050.000000,4150.000000,4112.365234,335000
2005-06-23,4150.000000,4200.000000,4150.000000,4150.000000,4112.365234,53100
2005-06-24,4100.000000,4150.000000,4050.000000,4150.000000,4112.365234,36850
2005-06-27,4050.000000,4100.000000,4050.000000,4100.000000,4062.818359,13300
2005-06-28,4100.000000,4100.000000,4100.000000,4100.000000,4062.818359,2250
2005-06-29,4100.000000,4100.000000,4050.000000,4100.000000,4062.818359,55100
2005-06-30,4050.000000,4100.000000,4050.000000,4100.000000,4062.818359,2600
2005-07-01,3950.000000,4000.000000,3950.000000,4000.000000,3963.725586,5500
2005-07-04,3950.000000,4000.000000,3950.000000,4000.000000,3963.725586,11300
2005-07-05,4000.000000,4000.000000,3850.000000,4000.000000,3963.725586,197950
2005-07-06,3900.000000,3900.000000,3850.000000,3900.000000,3864.632568,37750
2005-07-07,3800.000000,3950.000000,3800.000000,3950.000000,3914.179199,60250
2005-07-08,3950.000000,3950.000000,3850.000000,3950.000000,3914.179199,87500
2005-07-11,3950.000000,3950.000000,3900.000000,3950.000000,3914.179199,14300
2005-07-12,3950.000000,3950.000000,3850.000000,3900.000000,3864.632568,47900
2005-07-13,3900.000000,4050.000000,3900.000000,4000.000000,3963.725586,192350
2005-07-14,3950.000000,4050.000000,3950.000000,3950.000000,3914.179199,120950
2005-07-15,3950.000000,3950.000000,3900.000000,3900.000000,3864.632568,31950
2005-07-18,3900.000000,3900.000000,3900.000000,3900.000000,3864.632568,500
2005-07-19,3950.000000,4050.000000,3950.000000,3950.000000,3914.179199,6205850
2005-07-20,4000.000000,4000.000000,3900.000000,3900.000000,3864.632568,24500
2005-07-21,3950.000000,4100.000000,3950.000000,4050.000000,4013.271729,323600
2005-07-22,4100.000000,4100.000000,3950.000000,3950.000000,3914.179199,152500
2005-07-25,4050.000000,4050.000000,4050.000000,4050.000000,4013.271729,250
2005-07-26,4000.000000,4050.000000,4000.000000,4050.000000,4013.271729,19000
2005-07-27,4050.000000,4050.000000,3950.000000,4000.000000,3963.725586,108950
2005-07-28,4050.000000,4100.000000,4050.000000,4050.000000,4013.271729,364150
2005-07-29,4100.000000,4100.000000,4000.000000,4050.000000,4013.271729,112650
2005-08-01,4000.000000,4000.000000,3950.000000,4000.000000,3963.725586,39400
2005-08-02,3950.000000,4000.000000,3950.000000,4000.000000,3963.725586,106300
2005-08-03,4000.000000,4000.000000,4000.000000,4000.000000,3963.725586,72500
2005-08-04,3950.000000,3950.000000,3950.000000,3950.000000,3914.179199,129500
2005-08-05,3950.000000,4000.000000,3950.000000,4000.000000,3963.725586,40250
2005-08-08,3950.000000,4000.000000,3950.000000,4000.000000,3963.725586,25100
2005-08-09,4000.000000,4250.000000,4000.000000,4150.000000,4112.365234,4912600
2005-08-10,4200.000000,4300.000000,4200.000000,4250.000000,4211.458984,1907950
2005-08-11,4250.000000,4250.000000,4100.000000,4150.000000,4112.365234,262350
2005-08-12,4150.000000,4150.000000,4000.000000,4100.000000,4062.818359,180250
2005-08-15,4000.000000,4000.000000,3950.000000,4000.000000,3963.725586,234450
2005-08-16,3950.000000,4000.000000,3950.000000,4000.000000,3963.725586,123850
2005-08-18,4000.000000,4000.000000,3900.000000,3950.000000,3914.179199,175450
2005-08-19,3850.000000,3900.000000,3800.000000,3900.000000,3864.632568,119900
2005-08-22,3850.000000,3850.000000,3800.000000,3850.000000,3815.085693,200250
2005-08-23,3850.000000,3900.000000,3850.000000,3850.000000,3815.085693,144300
2005-08-24,3800.000000,3800.000000,3650.000000,3750.000000,3715.992676,749900
2005-08-25,3800.000000,3900.000000,3750.000000,3900.000000,3864.632568,109300
2005-08-26,3800.000000,3800.000000,3750.000000,3800.000000,3765.539063,33200
2005-08-29,3650.000000,3700.000000,3550.000000,3700.000000,3666.446045,409350
2005-08-30,3550.000000,3750.000000,3500.000000,3750.000000,3715.992676,477700
2005-08-31,3750.000000,3750.000000,3700.000000,3750.000000,3715.992676,108100
2005-09-01,3650.000000,3650.000000,3550.000000,3600.000000,3567.353027,17600
2005-09-05,3600.000000,3700.000000,3550.000000,3700.000000,3666.446045,13500
2005-09-06,3700.000000,3850.000000,3700.000000,3750.000000,3715.992676,179500
2005-09-07,3750.000000,3800.000000,3750.000000,3800.000000,3765.539063,80350
2005-09-08,3800.000000,3850.000000,3750.000000,3750.000000,3715.992676,234550
2005-09-09,3800.000000,3850.000000,3800.000000,3800.000000,3765.539063,333700
2005-09-12,3800.000000,3850.000000,3800.000000,3850.000000,3815.085693,110800
2005-09-13,3850.000000,3850.000000,3750.000000,3750.000000,3715.992676,89050
2005-09-14,3700.000000,3700.000000,3650.000000,3650.000000,3616.899414,56050
2005-09-15,3650.000000,3750.000000,3600.000000,3650.000000,3616.899414,79350
2005-09-16,3750.000000,3750.000000,3600.000000,3700.000000,3666.446045,36550
2005-09-19,3750.000000,3750.000000,3550.000000,3550.000000,3517.806641,147850
2005-09-20,3600.000000,3600.000000,3500.000000,3550.000000,3517.806641,132250
2005-09-21,3500.000000,3500.000000,3450.000000,3450.000000,3418.713135,350250
2005-09-22,3400.000000,3400.000000,3250.000000,3350.000000,3319.619873,234450
2005-09-23,3400.000000,3400.000000,3350.000000,3400.000000,3369.166504,36550
2005-09-26,3400.000000,3400.000000,3400.000000,3400.000000,3369.166504,400
2005-09-27,3400.000000,3650.000000,3400.000000,3450.000000,3418.713135,356850
2005-09-28,3550.000000,3600.000000,3450.000000,3450.000000,3418.713135,258050
2005-09-29,3450.000000,3550.000000,3450.000000,3450.000000,3418.713135,56750
2005-09-30,3550.000000,3600.000000,3500.000000,3500.000000,3468.259521,163700
2005-10-03,3400.000000,3550.000000,3400.000000,3500.000000,3468.259521,240900
2005-10-04,3500.000000,3700.000000,3500.000000,3650.000000,3616.899414,1209800
2005-10-05,3700.000000,3900.000000,3650.000000,3850.000000,3815.085693,2690800
2005-10-06,3850.000000,4050.000000,3750.000000,3950.000000,3914.179199,2641300
2005-10-07,3950.000000,4050.000000,3800.000000,3800.000000,3765.539063,853900
2005-10-10,3850.000000,4150.000000,3850.000000,4150.000000,4112.365234,1878350
2005-10-11,4150.000000,4200.000000,4050.000000,4050.000000,4013.271729,745350
2005-10-12,4100.000000,4100.000000,4000.000000,4000.000000,3963.725586,253000
2005-10-13,3950.000000,4150.000000,3950.000000,4000.000000,3963.725586,865350
2005-10-14,4050.000000,4050.000000,4000.000000,4000.000000,3963.725586,83650
2005-10-17,4000.000000,4050.000000,3950.000000,3950.000000,3914.179199,145650
2005-10-18,4050.000000,4050.000000,3900.000000,3900.000000,3864.632568,65850
2005-10-19,3900.000000,4000.000000,3900.000000,3950.000000,3914.179199,157750
2005-10-20,4000.000000,4000.000000,3900.000000,3900.000000,3864.632568,46000
2005-10-21,3850.000000,3900.000000,3800.000000,3900.000000,3864.632568,15250
2005-10-24,3900.000000,3900.000000,3800.000000,3800.000000,3765.539063,17000
2005-10-25,3800.000000,3900.000000,3750.000000,3800.000000,3765.539063,11750
2005-10-26,3850.000000,3900.000000,3800.000000,3850.000000,3815.085693,15400
2005-10-27,3800.000000,3900.000000,3800.000000,3800.000000,3765.539063,7850
2005-10-28,3850.000000,3850.000000,3700.000000,3750.000000,3715.992676,24350
2005-10-31,3900.000000,3900.000000,3900.000000,3900.000000,3864.632568,250
2005-11-01,3900.000000,3900.000000,3750.000000,3850.000000,3815.085693,25900
2005-11-07,null,null,null,null,null,null
2005-11-08,null,null,null,null,null,null
2005-11-09,3850.000000,3900.000000,3700.000000,3750.000000,3715.992676,28850
2005-11-10,3800.000000,3800.000000,3700.000000,3700.000000,3666.446045,3250
2005-11-11,3800.000000,3800.000000,3700.000000,3800.000000,3765.539063,101950
2005-11-14,3700.000000,3700.000000,3700.000000,3700.000000,3666.446045,21400
2005-11-15,3700.000000,3800.000000,3700.000000,3800.000000,3765.539063,4250
2005-11-16,3700.000000,3700.000000,3700.000000,3700.000000,3666.446045,30050
2005-11-17,3700.000000,3750.000000,3700.000000,3700.000000,3666.446045,24250
2005-11-18,3700.000000,3750.000000,3700.000000,3700.000000,3666.446045,45600
2005-11-21,3700.000000,3800.000000,3700.000000,3800.000000,3765.539063,72000
2005-11-22,3800.000000,3900.000000,3750.000000,3800.000000,3765.539063,431700
2005-11-23,3750.000000,3750.000000,3750.000000,3750.000000,3715.992676,12950
2005-11-24,3750.000000,3750.000000,3750.000000,3750.000000,3715.992676,295350
2005-11-25,3800.000000,4000.000000,3750.000000,4000.000000,3963.725586,944650
2005-11-28,3950.000000,3950.000000,3850.000000,3850.000000,3815.085693,76600
2005-11-29,3900.000000,4000.000000,3900.000000,3950.000000,3914.179199,637300
2005-11-30,4000.000000,4050.000000,3900.000000,4050.000000,4013.271729,620950
2005-12-01,4050.000000,4050.000000,3950.000000,4000.000000,3963.725586,211200
2005-12-02,4000.000000,4000.000000,3950.000000,4000.000000,3963.725586,177100
2005-12-05,4000.000000,4050.000000,3950.000000,3950.000000,3914.179199,186500
2005-12-06,3950.000000,4000.000000,3950.000000,4000.000000,3963.725586,366300
2005-12-07,4050.000000,4300.000000,4000.000000,4300.000000,4261.004883,3435000
2005-12-08,4250.000000,4300.000000,4200.000000,4200.000000,4161.912109,1322700
2005-12-09,4250.000000,4300.000000,4200.000000,4300.000000,4261.004883,1026350
2005-12-12,4300.000000,4350.000000,4200.000000,4200.000000,4161.912109,1702050
2005-12-13,4250.000000,4550.000000,4250.000000,4450.000000,4409.644531,5839000
2005-12-14,4500.000000,4500.000000,4300.000000,4300.000000,4261.004883,1170550
2005-12-15,4300.000000,4300.000000,4150.000000,4150.000000,4112.365234,454800
2005-12-16,4150.000000,4200.000000,4050.000000,4050.000000,4013.271729,715500
2005-12-19,4100.000000,4200.000000,4100.000000,4150.000000,4112.365234,590050
2005-12-20,4200.000000,4250.000000,4100.000000,4150.000000,4112.365234,275100
2005-12-21,4150.000000,4150.000000,4100.000000,4150.000000,4112.365234,121350
2005-12-22,4150.000000,4150.000000,4050.000000,4050.000000,4013.271729,489950
